GeneID,GeneName,GeneDescription,Dataset
1230,CDA2,Chitin deactylase 2,cna1_crz1_thermal_stress
6835,KRE61,Glucosidase,cna1_crz1_thermal_stress
546,CHS6,Chitin synthase 6,cna1_crz1_thermal_stress
5803,EXG1,"Exo-β-1,3-glucanase",cna1_crz1_thermal_stress
5818,CHS5,Chitin synthase 5,cna1_crz1_thermal_stress
6336,BGL2,"Glucan 1,3 β-glucosidase",cna1_crz1_thermal_stress
6501,GAS1,"1,3-β-glucanosyltransferase",cna1_crz1_thermal_stress
5458,,"Endo-1,3(4)-β-glucanase",cna1_crz1_thermal_stress
5138,SPR1,"Exo-β-1,3-glucanase",cna1_crz1_thermal_stress
3412,CTS1,Chitinase 1,cna1_crz1_thermal_stress
2217,CHS7,Chitin synthase 7,cna1_crz1_thermal_stress
663,,,cna1_crz1_thermal_stress
3135,,Magnesium transporter NIPA2,cna1_crz1_thermal_stress
3242,RIM2,Peroxisomal membrane protein,cna1_crz1_thermal_stress
25,VCX1,Calcium ion transporter,cna1_crz1_thermal_stress
1232,PMC1,Calcium-transporting ATPase,cna1_crz1_thermal_stress
5632,,Cation-independent mannose-6-phosphate receptor ,cna1_crz1_thermal_stress
7406,MFα,Pheromone alpha,cna1_crz1_thermal_stress
7407,MFα3,Fungal mating-type pheromone,cna1_crz1_thermal_stress
407,,Glyoxal oxidase,cna1_crz1_thermal_stress
2030,,Glyoxal oxidase,cna1_crz1_thermal_stress
3464,LAC2,Laccase,cna1_crz1_thermal_stress
5731,,Glyoxal oxidase,cna1_crz1_thermal_stress
2415,,Annexin XIV,cna1_crz1_thermal_stress
3316,RDI1,Rho GDP-dissociation inhibitor 1,cna1_crz1_thermal_stress
4634,,,cna1_crz1_thermal_stress
7725,ROX1,Specific transcriptional repressor,cna1_crz1_thermal_stress
6658,,Rhomboid family membrane protein,cna1_crz1_thermal_stress
5889,,SH3YL1 protein,cna1_crz1_thermal_stress
5521,,Aldose reductase,cna1_crz1_thermal_stress
5072,,Endopeptidase,cna1_crz1_thermal_stress
6748,UTP7,U3 snoRNA-associated protein 7 ,cna1_crz1_thermal_stress
3463,LSP1,Sphingolipid long chain base-responsive protein ,cna1_crz1_thermal_stress
6499,,Ppapdc1 protein,cna1_crz1_thermal_stress
2602,,Flavonol synthase ,cna1_crz1_thermal_stress
3019,,Long-chain acyl-CoA synthase,cna1_crz1_thermal_stress
4016,,,cna1_crz1_thermal_stress
3599,,Mandelate racemase/muconate lactonizing enzyme,cna1_crz1_thermal_stress
4523,,Glyceraldehyde 3-phosphate dehydrogenase,cna1_crz1_thermal_stress
588,,Ricin-type beta-trefoil lectin domain,cna1_crz1_thermal_stress
4891,,Ricin-type beta-trefoil lectin domain,cna1_crz1_thermal_stress
2864,,,cna1_crz1_thermal_stress
3223,,Ser-Thr-rich glycosyl-phosphatidyl-inositol-anchored membrane family,cna1_crz1_thermal_stress
2526,,,cna1_crz1_thermal_stress
4903,,,cna1_crz1_thermal_stress
2685,,Fasciclin domain,cna1_crz1_thermal_stress
5641,,,cna1_crz1_thermal_stress
1081,,NADH(P)-binding  domain,cna1_crz1_thermal_stress
2156,,,cna1_crz1_thermal_stress
5916,,,cna1_crz1_thermal_stress
5158,,,cna1_crz1_thermal_stress
7981,,,cna1_crz1_thermal_stress
1506,,,cna1_crz1_thermal_stress
587,,,cna1_crz1_thermal_stress
3007,,,cna1_crz1_thermal_stress
5660,,,cna1_crz1_thermal_stress
5654,,SUR7/PalI family domain,cna1_crz1_thermal_stress
586,,,cna1_crz1_thermal_stress
3783,,ubiE/COQ5 methyltransferase family,cna1_crz1_thermal_stress
3224,,,cna1_crz1_thermal_stress
691,,,cna1_crz1_thermal_stress
5915,,,cna1_crz1_thermal_stress
7498,,DUF567 domain containing protein,cna1_crz1_thermal_stress
6863,,,cna1_crz1_thermal_stress
3782,,,cna1_crz1_thermal_stress
1942,,,cna1_crz1_thermal_stress
3154,,,cna1_crz1_thermal_stress
5448,,,cna1_crz1_thermal_stress
485,,,cna1_crz1_thermal_stress
3227,,Avr1-like family domain,cna1_crz1_thermal_stress
4459,,,cna1_crz1_thermal_stress
4606,,,cna1_crz1_thermal_stress
7658,,,cna1_crz1_thermal_stress
1121,,,cna1_crz1_thermal_stress
301,,,cna1_crz1_thermal_stress
4094,,,cna1_crz1_thermal_stress
2510,,,cna1_crz1_thermal_stress
4256,,Zinc finger with UFM1-specific peptidase domain ,cna1_crz1_thermal_stress
1525,,,cna1_crz1_thermal_stress
1272,,,cna1_crz1_thermal_stress
4737,,,cna1_crz1_thermal_stress
5089,,,cna1_crz1_thermal_stress
3047,,Organic solute transporter Ostalpha domain,cna1_crz1_thermal_stress
7943,,DUF1183 domain,cna1_crz1_thermal_stress
2661,,Glycosyl hydrolase catalytic core,cna1_crz1_thermal_stress
6149,,,cna1_crz1_thermal_stress
5159,,,cna1_crz1_thermal_stress
4681,,,cna1_crz1_thermal_stress
3161,,,cna1_crz1_thermal_stress
1087,,"Zinc finger, C3HC4 type domain",cna1_crz1_thermal_stress
5412,,,cna1_crz1_thermal_stress
647,,,cna1_crz1_thermal_stress
7549,,FYVE zinc finger,cna1_crz1_thermal_stress
668,,,cna1_crz1_thermal_stress
