Geneid,WT_30_Y_1,WT_30_Y_2,WT_30_Y_3,WT_37_Y_1,WT_37_Y_2,WT_37_Y_3,WT_37_C_1,WT_37_C_2,WT_37_C_3,WT_37_CE_1,WT_37_CE_2,WT_37_CE_3,WT_37_E_1,WT_37_E_2,WT_37_E_3,FL_30_Y_1,FL_30_Y_2,FL_30_Y_3,FL_37_Y_1,FL_37_Y_2,FL_37_Y_3,FL_37_C_1,FL_37_C_2,FL_37_C_3,FL_37_CE_1,FL_37_CE_2,FL_37_CE_3,FL_37_E_1,FL_37_E_2,FL_37_E_3
CNAG_00002,37.45,42.33,41.18,47.71,59.75,44.46,54.79,55,48.17,51.88,52.35,60.58,49.49,57.46,50.21,38.92,42.09,36.91,66.5,59.56,58.57,74.46,64.67,66.05,49.1,55.6,58.21,57.04,52.16,58.08
CNAG_00003,2.21,4.82,3.21,4.94,4.51,4.68,2.48,4.93,4.01,5.5,5.46,5.89,4.02,5.97,6.8,6.78,7.08,7,9.93,6.24,7.65,8.51,12.44,10.48,10.35,9.49,7.09,6.86,10.24,8.02
CNAG_00004,10.93,8.96,9.88,12.05,14.77,13.16,12.03,14.8,12.52,14.34,11.8,16.54,14.49,14.55,13.37,12.81,12.81,13.79,12.6,14.01,13.98,15.96,16.54,13.13,19.61,17.18,22.95,14.49,18.3,19.45
CNAG_00005,53.73,44.68,45.82,64.34,79.85,82.78,79.12,83.3,71.78,75.61,85.83,73.18,70.29,89.3,77.9,47.46,46.86,65.76,88.67,89.92,97.95,111.38,122.51,117.32,96.51,86.12,80.23,87.27,89.85,91.46
CNAG_00006,118.51,171.68,149.48,202.89,204.95,198.17,192.76,177.77,212.44,202.57,207.05,223.96,182.76,157.21,175.51,188.97,185.14,165.04,225.54,216.45,212.64,299.5,282.76,270.12,258.33,237.34,270.18,218.18,205.91,202.1
CNAG_00007,54.78,78.73,68.91,79.28,73.97,78.39,62.25,66.46,70.81,55.9,63.12,64.18,66.99,69.03,78.37,59.77,55.45,60.25,49.42,52.96,56.02,46.04,34.73,43.82,43.08,43.85,37.13,43.01,43.28,47.04
CNAG_00008,16.4,25.31,24.52,33.49,34.32,32.76,31.25,29.75,32.6,41.02,34.95,39.95,46.62,44.77,40.36,34.15,35.28,34.79,43.85,44.49,43.26,50.75,56.47,54.43,61.61,63.06,56.91,67.79,63.22,57.16
CNAG_00009,18.61,18.14,22.25,27.83,25.98,28.23,19.75,23.8,27.46,41.69,40.41,41.09,34.57,33.33,37.54,40.56,34.06,36.28,34.88,35.66,33.17,38.44,38.56,31.32,41.54,37.3,27.61,26.81,27.17,27.73
CNAG_00010,22.68,22.29,28.8,44.46,38.01,28.96,29.42,28.01,36.29,42.77,39.52,42.24,38.3,37.81,47.4,45.45,37.05,33.73,41.55,40.49,32.39,54.55,46.76,40.16,44.47,50.18,45.9,40.05,33.86,37.32
CNAG_00011,9.89,13.1,13.57,23.37,25.7,18.87,19.22,23.22,27.46,24,23.01,28.16,21.66,17.16,17.6,20.34,18.94,17.18,24.95,24.6,25.96,30.85,33.5,34.85,24.55,25.77,22.02,24,21.98,22.08
CNAG_00012,29.31,37.74,34.99,56.27,62.21,58.35,48.91,57.32,68.73,62.47,56.04,65.98,63.26,61.19,47.16,41.18,47.41,50.49,61.9,57.44,71.99,72.48,80.67,84.61,87.55,70.07,82.66,88.52,89.3,87.78
CNAG_00013,28.73,20.72,23.56,45.06,46.76,42.56,46.69,54.13,46.41,37.27,39.52,35.36,47.48,54.35,48.34,36.54,37.6,29.7,53.66,49.9,49.81,61.24,67.82,62.64,52.96,48.6,45.15,62.65,64.99,56.63
CNAG_00014,2.09,4.26,3.45,5.66,5.74,5.26,4.58,6.53,5.62,6.03,7.67,5.89,5.45,8.08,8.92,6.15,5.04,6.36,10.17,9.06,8.1,15.2,12.31,11.87,14.36,11.53,13.43,14.81,13.79,14.06
CNAG_00015,9.89,10.97,10,16.14,16.27,19.45,15.95,18.43,20.55,25.87,29.49,23.41,20.94,25,30.27,45.2,40.05,36.7,56.08,47.9,43.48,88.44,75.75,88.4,112.87,119.8,100.57,108.62,116.06,91.85
CNAG_00016,43.61,44.01,47.6,48.8,60.84,41.53,47.34,51.81,40.95,48.93,43.65,50.26,42.61,39.18,41.53,35.16,33.65,40.73,36.1,42.96,39.05,32.67,34.87,33.84,36.9,34.13,35.08,33.66,30.31,35.35
