SampleID,Temperature,Media ,BioRep,Strain,SampleName,FLC1
1,30,YPD,1,KN99_,WT_30_Y_1,WT
2,30,YPD,2,KN99_,WT_30_Y_2,WT
3,30,YPD,3,KN99_,WT_30_Y_3,WT
4,30,YPD,1,flc1Æ,FL_30_Y_1,delta
5,30,YPD,2,flc1Æ,FL_30_Y_2,delta
6,30,YPD,3,flc1Æ,FL_30_Y_3,delta
7,37,YPD,1,KN99_,WT_37_Y_1,WT
8,37,YPD,2,KN99_,WT_37_Y_2,WT
9,37,YPD,3,KN99_,WT_37_Y_3,WT
10,37,YPD,1,flc1Æ,FL_37_Y_1,delta
11,37,YPD,2,flc1Æ,FL_37_Y_2,delta
12,37,YPD,3,flc1Æ,FL_37_Y_3,delta
13,37,YPD_CFW,1,KN99_,WT_37_C_1,WT
14,37,YPD_CFW,2,KN99_,WT_37_C_2,WT
15,37,YPD_CFW,3,KN99_,WT_37_C_3,WT
16,37,YPD_CFW,1,flc1Æ,FL_37_C_1,delta
17,37,YPD_CFW,2,flc1Æ,FL_37_C_2,delta
18,37,YPD_CFW,3,flc1Æ,FL_37_C_3,delta
19,37,YPD_EGTA,1,KN99_,WT_37_E_1,WT
20,37,YPD_EGTA,2,KN99_,WT_37_E_2,WT
21,37,YPD_EGTA,3,KN99_,WT_37_E_3,WT
22,37,YPD_EGTA,1,flc1Æ,FL_37_E_1,delta
23,37,YPD_EGTA,2,flc1Æ,FL_37_E_2,delta
24,37,YPD_EGTA,3,flc1Æ,FL_37_E_3,delta
25,37,YPD_CFW_EGTA,1,KN99_,WT_37_CE_1,WT
26,37,YPD_CFW_EGTA,2,KN99_,WT_37_CE_2,WT
27,37,YPD_CFW_EGTA,3,KN99_,WT_37_CE_3,WT
28,37,YPD_CFW_EGTA,1,flc1Æ,FL_37_CE_1,delta
29,37,YPD_CFW_EGTA,2,flc1Æ,FL_37_CE_2,delta
30,37,YPD_CFW_EGTA,3,flc1Æ,FL_37_CE_3,delta
