gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	361.607	-0.152	0.171	0.5869
CNAG_00003	NA	31.835	-0.007	0.349	0.9916
CNAG_00004	NA	92.274	-0.064	0.233	0.8906
CNAG_00005	NA	484.831	0.163	0.181	0.5832
CNAG_00006	NA	1371.35	-0.011	0.146	0.9696
CNAG_00007	NA	577.986	-0.28	0.155	0.1995
CNAG_00008	NA	216.783	0.13	0.186	0.6832
CNAG_00009	NA	185.437	-0.007	0.185	0.9862
CNAG_00010	NA	241.547	0.115	0.2	0.7485
CNAG_00011	NA	133.812	0.419	0.21	0.1509
CNAG_00012	NA	359.482	0.315	0.159	0.1523
CNAG_00013	NA	267.564	0.387	0.194	0.1507
CNAG_00014	NA	34.02	0.294	0.335	0.5937
CNAG_00015	NA	107.113	0.265	0.215	0.4225
CNAG_00016	NA	383.57	-0.322	0.179	0.2028
CNAG_00017	NA	65.041	0.656	0.265	0.05946
CNAG_00018	FZC6	489.114	-0.031	0.178	0.931
CNAG_00019	NA	3289.387	-0.176	0.158	0.4793
CNAG_00020	NA	783.761	-0.027	0.173	0.9361
CNAG_00021	NA	562.264	-1.201	0.201	1.182e-7
CNAG_00022	NA	703.188	-0.157	0.142	0.483
CNAG_00023	NA	19.82	1.474	0.451	0.008291
CNAG_00024	NA	984.88	-0.445	0.222	0.1484
CNAG_00025	VCX1	211.274	0.038	0.181	0.9197
CNAG_00026	NA	580.963	-0.853	0.166	6.829e-6
CNAG_00027	NA	109.389	0.061	0.215	0.8871
CNAG_00028	NA	79.625	-0.229	0.33	0.6873
CNAG_00029	NA	28.649	0.478	0.387	0.4212
CNAG_00030	NA	16.06	0.754	0.473	0.2751
CNAG_00031	MLR1	133.954	0.165	0.201	0.6224
CNAG_00032	NA	26.02	-0.064	0.383	0.9317
CNAG_00034	RPL9B	38857.807	-0.769	0.132	2.492e-7
CNAG_00035	NA	18.725	0.436	0.439	0.5365
CNAG_00036	SEC14-2	43.621	0.786	0.296	0.0402
CNAG_00038	NA	118.31	0.952	0.224	2.789e-4
CNAG_00039	ZFC6	7.295	0.173	0.712	0.9023
CNAG_00040	ERG11	938.717	-0.523	0.144	0.002662
CNAG_00043	NA	157.659	0.106	0.203	0.7758
CNAG_00044	NA	339.899	0.097	0.212	0.8079
CNAG_00045	NA	121.929	0.276	0.22	0.4126
CNAG_00046	NA	1340.152	-0.021	0.148	0.9438
CNAG_00047	PKP1	55.207	0.54	0.275	0.1578
CNAG_00048	NA	30.585	0.326	0.343	0.5565
CNAG_00049	NA	36.695	0.761	0.334	0.08794
CNAG_00050	NA	110.391	0.359	0.288	0.4181
CNAG_00051	SNT1	314.138	-0.073	0.171	0.8219
CNAG_00052	NA	56.436	1.671	0.296	5.765e-7
CNAG_00053	NA	85.962	0.512	0.26	0.157
CNAG_00054	NA	30.588	0.397	0.348	0.4665
CNAG_00055	NA	555.183	0.071	0.193	0.8491
CNAG_00056	NA	225.95	0.158	0.215	0.6674
CNAG_00057	FPP1	304.352	1.442	0.166	1.217e-15
CNAG_00058	NA	2011.074	-0.401	0.14	0.02408
CNAG_00059	NA	120.914	-0.002	0.227	0.9968
CNAG_00060	NA	216.969	-0.14	0.181	0.647
CNAG_00061	CIT1	11159.019	-0.649	0.157	4.347e-4
CNAG_00062	NA	1082.211	0.396	0.163	0.06636
CNAG_00063	CSE4	445.93	-0.102	0.158	0.7093
CNAG_00064	NA	879.869	0.616	0.205	0.01753
CNAG_00065	NA	3044.59	-0.239	0.149	0.2723
CNAG_00066	NA	181.411	-0.148	0.191	0.6439
CNAG_00067	SSS1	2696.407	-0.219	0.194	0.4726
CNAG_00068	NA	59.204	0.011	0.262	0.9844
CNAG_00069	NA	12.738	-0.21	0.525	0.8339
CNAG_00070	NA	154.396	0.303	0.218	0.3525
CNAG_00072	NA	876.97	0.378	0.168	0.09168
CNAG_00073	NA	252.696	0.196	0.177	0.4819
CNAG_00074	NA	629.602	0.666	0.146	7.92e-5
CNAG_00075	NA	335.836	0.573	0.165	0.004259
CNAG_00076	NDX6	214.504	-0.119	0.22	0.7657
CNAG_00077	NA	1054.853	0.401	0.185	0.1084
