gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	371.695	0.467	0.124	0.001368
CNAG_00003	NA	55.459	0.016	0.258	0.9741
CNAG_00004	NA	99.712	-0.126	0.193	0.6799
CNAG_00005	NA	536.709	0.616	0.146	2.705e-4
CNAG_00006	NA	1477.518	0.101	0.09	0.433
CNAG_00007	NA	417.761	-0.321	0.122	0.03543
CNAG_00008	NA	291.892	0.161	0.129	0.3804
CNAG_00009	NA	267.863	-0.273	0.134	0.1189
CNAG_00010	NA	286.847	-0.206	0.144	0.3003
CNAG_00011	NA	162.871	0.239	0.158	0.2696
CNAG_00012	NA	408.616	0.287	0.141	0.1167
CNAG_00013	NA	316.269	0.379	0.129	0.01686
CNAG_00014	NA	55.197	0.471	0.253	0.1601
CNAG_00015	NA	333.169	0.092	0.134	0.6644
CNAG_00016	NA	283.565	-0.062	0.144	0.7997
CNAG_00017	NA	114.642	0.54	0.202	0.03172
CNAG_00018	FZC6	459.08	0.105	0.126	0.5911
CNAG_00019	NA	2291.001	0.001	0.084	0.9926
CNAG_00020	NA	899.099	0.148	0.108	0.3284
CNAG_00021	NA	528.555	-0.554	0.131	2.83e-4
CNAG_00022	NA	598.393	-0.213	0.108	0.1359
CNAG_00023	NA	46.461	0.49	0.278	0.1864
CNAG_00024	NA	988.652	-0.447	0.108	3.719e-4
CNAG_00025	VCX1	517.49	-0.373	0.15	0.04866
CNAG_00026	NA	439.38	-0.22	0.125	0.1847
CNAG_00027	NA	123.828	0.342	0.18	0.1473
CNAG_00028	NA	98.937	0.226	0.199	0.4295
CNAG_00029	NA	37.194	0.376	0.303	0.3843
CNAG_00030	NA	26.003	-0.423	0.395	0.4626
CNAG_00031	MLR1	120.852	0.197	0.189	0.4796
CNAG_00032	NA	46.176	0.668	0.321	0.1083
CNAG_00034	RPL9B	25446.947	-0.42	0.099	2.724e-4
CNAG_00035	NA	68.189	0.19	0.231	0.5947
CNAG_00036	SEC14-2	303.218	-0.427	0.133	0.007848
CNAG_00038	NA	186.335	0.738	0.158	4.4e-5
CNAG_00039	ZFC6	19.053	0.109	0.429	0.885
CNAG_00040	ERG11	1055.095	-0.792	0.115	3.234e-10
CNAG_00043	NA	184.903	0.217	0.155	0.3145
CNAG_00044	NA	308.596	0.22	0.174	0.3731
CNAG_00045	NA	271.282	0.569	0.142	6.116e-4
CNAG_00046	NA	1311.453	0.211	0.101	0.1056
CNAG_00047	PKP1	63.605	0.113	0.255	0.7926
CNAG_00048	NA	58.152	0.628	0.253	0.04857
CNAG_00049	NA	45.224	0.525	0.33	0.2407
CNAG_00050	NA	127.209	-0.26	0.182	0.3023
CNAG_00051	SNT1	365.874	-0.148	0.139	0.4653
CNAG_00052	NA	98.36	0.853	0.21	5.044e-4
CNAG_00053	NA	119.767	-0.396	0.189	0.106
CNAG_00054	NA	128.948	0.261	0.184	0.3066
CNAG_00055	NA	743.595	-0.06	0.108	0.7304
CNAG_00056	NA	340.359	-0.165	0.141	0.4162
CNAG_00057	FPP1	704.639	0.298	0.11	0.02877
CNAG_00058	NA	1578.456	-0.133	0.101	0.35
CNAG_00059	NA	121.494	-0.144	0.178	0.5997
CNAG_00060	NA	230.215	-0.363	0.144	0.04451
CNAG_00061	CIT1	8137.63	-0.308	0.116	0.03206
CNAG_00062	NA	951.473	0.18	0.101	0.1812
CNAG_00063	CSE4	419.534	-0.261	0.118	0.08607
CNAG_00064	NA	1414.699	-0.063	0.1	0.6953
CNAG_00065	NA	2843.259	-0.068	0.085	0.6064
CNAG_00066	NA	224.516	-0.152	0.151	0.4997
CNAG_00067	SSS1	2619.229	-0.019	0.09	0.9023
CNAG_00068	NA	96.739	0.065	0.208	0.8587
CNAG_00069	NA	25.778	-0.133	0.358	0.8276
CNAG_00070	NA	286.156	0.611	0.142	2.04e-4
CNAG_00072	NA	1023.72	0.054	0.109	0.7659
CNAG_00073	NA	264.913	0.141	0.144	0.5107
CNAG_00074	NA	1313.847	0.054	0.097	0.7304
CNAG_00075	NA	584.246	0.149	0.121	0.3864
CNAG_00076	NDX6	261.782	-0.034	0.135	0.8861
CNAG_00077	NA	2007.545	-0.027	0.11	0.8873
CNAG_00078	NA	139.451	-0.214	0.17	0.3767
CNAG_00079	NA	138.274	0.518	0.169	0.01136
CNAG_00080	NA	32.535	0.134	0.323	0.8085
CNAG_00081	NA	655.068	0.004	0.114	0.9861
CNAG_00082	NA	176.264	0.05	0.181	0.8762
CNAG_00083	CCC1	140.404	-0.321	0.182	0.1858
CNAG_00084	NA	922.509	-0.487	0.123	7.275e-4
CNAG_00085	NA	365.766	-0.018	0.132	0.9394
CNAG_00086	NA	708.94	-0.411	0.114	0.002442
CNAG_00087	NA	273.257	-0.24	0.138	0.1918
CNAG_00088	NA	592.527	-0.018	0.11	0.9275
CNAG_00089	NA	336.974	-0.273	0.128	0.09771
CNAG_00090	NA	432.525	-0.146	0.117	0.3804
CNAG_00091	NA	116.63	-0.25	0.195	0.3671
CNAG_00092	NA	1525.004	-0.271	0.104	0.03769
CNAG_00093	NA	365.095	-0.199	0.145	0.3285
CNAG_00094	NA	55.739	0.491	0.255	0.1425
CNAG_00095	NA	344.23	-0.171	0.122	0.3131
CNAG_00096	NA	139.936	-0.116	0.197	0.7147
CNAG_00097	ITR1	112.935	0.182	0.22	0.5925
CNAG_00098	NA	342.07	0.87	0.133	2.834e-9
CNAG_00099	NA	772.124	-0.236	0.101	0.06652
CNAG_00100	NA	4080.353	0.974	0.128	2.029e-12
CNAG_00101	KEI1	646.772	0.023	0.11	0.9021
CNAG_00104	NA	2314.199	-0.422	0.086	1.756e-5
CNAG_00106	TCO5	229.375	-0.057	0.154	0.8294
CNAG_00107	NA	66.915	0.654	0.253	0.03922
CNAG_00108	NA	1234.849	-0.051	0.127	0.8133
CNAG_00109	NA	1263.041	-0.097	0.097	0.5004
CNAG_00110	HPI3	560.712	-0.51	0.123	3.598e-4
CNAG_00111	NA	749.433	-0.076	0.122	0.6972
CNAG_00115	NA	260.209	-0.653	0.167	8.278e-4
CNAG_00116	NA	23622.206	-0.435	0.108	5.407e-4
CNAG_00117	ERG24	742.496	-0.363	0.106	0.004416
CNAG_00118	NA	338.074	0.297	0.148	0.1238
CNAG_00119	NA	134.987	0.402	0.186	0.09426
CNAG_00120	NA	383.937	-0.236	0.124	0.1498
CNAG_00121	NA	687.146	0.163	0.122	0.3375
CNAG_00122	NA	191.23	-0.572	0.165	0.003707
CNAG_00123	NA	27.752	0.396	0.344	0.4233
CNAG_00124	CAS32	729.938	-0.054	0.121	0.7892
CNAG_00125	CRG1	64.68	0.376	0.233	0.2333
CNAG_00126	NA	630.799	0.293	0.136	0.09469
CNAG_00127	NA	85.574	-0.015	0.206	0.9711
CNAG_00128	NA	152.354	-0.511	0.171	0.01445
CNAG_00129	NA	209.992	-0.054	0.151	0.8353
CNAG_00130	RCK2	793.619	0.163	0.114	0.3027
