gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	369.34	0.067	0.146	0.8576
CNAG_00003	NA	30.439	-0.307	0.338	NA
CNAG_00004	NA	94.562	-0.012	0.204	NA
CNAG_00005	NA	549.999	0.056	0.138	0.8784
CNAG_00006	NA	1414.07	-0.052	0.098	0.8311
CNAG_00007	NA	513.015	-0.211	0.116	0.3275
CNAG_00008	NA	231.06	-0.098	0.141	0.7676
CNAG_00009	NA	181.946	-0.209	0.162	0.5162
CNAG_00010	NA	243.573	-0.25	0.165	0.4286
CNAG_00011	NA	163.778	0.039	0.177	0.9452
CNAG_00012	NA	418.161	-0.015	0.135	0.9788
CNAG_00013	NA	335.619	0.141	0.136	0.6276
CNAG_00014	NA	39.779	0.009	0.29	NA
CNAG_00015	NA	127.084	0.086	0.183	NA
CNAG_00016	NA	347.202	-0.097	0.16	0.8001
CNAG_00017	NA	82.803	-0.04	0.218	NA
CNAG_00018	FZC6	471.365	-0.235	0.124	0.3003
CNAG_00019	NA	3127.956	-0.117	0.109	0.6082
CNAG_00020	NA	731.122	-0.344	0.138	0.1318
CNAG_00021	NA	344.331	-0.121	0.14	0.7024
CNAG_00022	NA	716.827	0.064	0.112	0.8144
CNAG_00023	NA	25.145	-0.661	0.362	NA
CNAG_00024	NA	898.015	0.061	0.139	0.8655
CNAG_00025	VCX1	231.734	0.078	0.147	0.8311
CNAG_00026	NA	479.238	0.259	0.137	0.3021
CNAG_00027	NA	115.633	-0.048	0.186	NA
CNAG_00028	NA	73.002	-0.16	0.225	NA
CNAG_00029	NA	36.091	0.086	0.33	NA
CNAG_00030	NA	22.777	0.203	0.403	NA
CNAG_00031	MLR1	150.215	0.017	0.168	NA
CNAG_00032	NA	27.498	0.062	0.348	NA
CNAG_00034	RPL9B	28788.966	-0.149	0.105	0.4659
CNAG_00035	NA	23.92	0.146	0.364	NA
CNAG_00036	SEC14-2	64.747	0.294	0.251	NA
CNAG_00038	NA	167.087	0.043	0.172	0.9349
CNAG_00039	ZFC6	10.522	0.664	0.552	NA
CNAG_00040	ERG11	816.491	0.016	0.113	0.9687
CNAG_00043	NA	175.922	0.06	0.163	0.8941
CNAG_00044	NA	359.724	-0.087	0.133	0.7838
CNAG_00045	NA	151.807	0.205	0.171	NA
CNAG_00046	NA	1361.358	-0.085	0.11	0.7385
CNAG_00047	PKP1	62.818	-0.287	0.244	NA
CNAG_00048	NA	36.329	0.03	0.302	NA
CNAG_00049	NA	50.999	0.128	0.262	NA
CNAG_00050	NA	126.387	-0.106	0.181	NA
CNAG_00051	SNT1	296.307	-0.256	0.14	0.3255
CNAG_00052	NA	83.422	-0.244	0.213	NA
CNAG_00053	NA	103.95	-0.073	0.207	NA
CNAG_00054	NA	33.675	-0.264	0.334	NA
CNAG_00055	NA	615.621	0.074	0.117	0.7918
CNAG_00056	NA	272.968	0.237	0.16	0.4367
CNAG_00057	FPP1	517.302	0.271	0.121	0.1931
CNAG_00058	NA	1890.77	0.098	0.102	0.6637
CNAG_00059	NA	122.678	-0.116	0.187	NA
CNAG_00060	NA	219.179	0.016	0.161	0.9805
CNAG_00061	CIT1	9707.591	0.163	0.117	0.4799
CNAG_00062	NA	1210.537	-0.205	0.113	0.33
CNAG_00063	CSE4	543.057	0.482	0.118	0.003413
CNAG_00064	NA	1176.494	0.132	0.116	0.5841
CNAG_00065	NA	3035.739	0.088	0.105	0.7131
CNAG_00066	NA	173.641	-0.128	0.164	0.73740000000000006
CNAG_00067	SSS1	3159.775	0.491	0.14	0.01909
CNAG_00068	NA	66.582	0.173	0.237	NA
CNAG_00069	NA	12.609	0.028	0.507	NA
CNAG_00070	NA	201.853	0.317	0.163	0.2853
CNAG_00072	NA	1039.935	-0.011	0.119	0.9814
CNAG_00073	NA	298.999	0.141	0.147	0.6609
CNAG_00074	NA	914.448	0.318	0.109	0.06281
CNAG_00075	NA	433.708	0.07	0.134	0.8332
CNAG_00076	NDX6	208.651	-0.111	0.165	0.775
CNAG_00077	NA	1162.498	-0.257	0.134	0.2939
CNAG_00078	NA	143.299	-0.184	0.18	NA
CNAG_00079	NA	106.589	-0.196	0.218	NA
CNAG_00080	NA	13.089	0.25	0.484	NA
CNAG_00081	NA	685.806	0.019	0.113	0.9624
CNAG_00082	NA	137.979	-0.066	0.188	NA
CNAG_00083	CCC1	146.755	0.206	0.182	NA
CNAG_00084	NA	1002.101	-0.21	0.103	0.2571
CNAG_00085	NA	349.983	-0.062	0.135	0.8587
CNAG_00086	NA	553.756	-0.129	0.122	0.6166
CNAG_00087	NA	270.305	0.23	0.145	0.4022
CNAG_00088	NA	625.429	0.02	0.118	0.9636
CNAG_00089	NA	336.75	0.048	0.136	0.8976
CNAG_00090	NA	372.91	0.057	0.124	0.8574
CNAG_00091	NA	73.597	-0.121	0.243	NA
CNAG_00092	NA	1698.41	0.004	0.097	0.9931
CNAG_00093	NA	172.17	0.163	0.164	0.6453
CNAG_00094	NA	55.849	0.067	0.248	NA
CNAG_00095	NA	318.348	-0.012	0.135	0.9828
CNAG_00096	NA	147.824	0.193	0.175	NA
CNAG_00097	ITR1	74.327	0.511	0.227	NA
CNAG_00098	NA	327.433	0.196	0.132	0.4392
CNAG_00099	NA	663.874	0.115	0.122	0.6659
CNAG_00100	NA	8298.482	0.184	0.116	0.4022
CNAG_00101	KEI1	617.741	0.033	0.116	0.9192
CNAG_00104	NA	1796.74	0.172	0.138	0.534
CNAG_00106	TCO5	156.41	-0.336	0.168	0.2708
CNAG_00107	NA	58.87	0.24	0.255	NA
CNAG_00108	NA	1709.48	0.209	0.124	0.3702
CNAG_00109	NA	1511.193	-0.19	0.098	0.2888
CNAG_00110	HPI3	432.349	-0.057	0.134	0.8693
CNAG_00111	NA	748.81	-0.281	0.133	0.2324
CNAG_00115	NA	246.751	0.09	0.191	0.8548
CNAG_00116	NA	27098.83	-0.277	0.103	0.099030000000000007
CNAG_00117	ERG24	738.866	0.169	0.111	0.4277
CNAG_00118	NA	294.903	0.183	0.137	0.5016
CNAG_00119	NA	150.73	0.207	0.176	NA
CNAG_00120	NA	425.582	0.061	0.134	0.8591
CNAG_00121	NA	770.802	-0.03	0.116	0.9308
CNAG_00122	NA	146.965	-0.122	0.166	NA
CNAG_00123	NA	14.41	0.62	0.501	NA
CNAG_00124	CAS32	451.635	0.194	0.15	0.5143
CNAG_00125	CRG1	44.273	-0.187	0.277	NA
CNAG_00126	NA	620.835	0.08	0.122	0.7838
CNAG_00127	NA	66.069	-0.553	0.25	NA
CNAG_00128	NA	104.472	-0.375	0.263	NA
CNAG_00129	NA	205.347	-0.063	0.153	0.877
CNAG_00130	RCK2	480.484	-0.024	0.121	0.9548
CNAG_00131	NA	32.104	-0.301	0.325	NA
CNAG_00132	NA	46.835	0.163	0.268	NA
CNAG_00133	NA	158.135	-0.069	0.173	0.883
CNAG_00134	NA	198.143	0.108	0.163	0.7796
CNAG_00135	NA	499.866	-0.088	0.122	0.7587
CNAG_00136	NA	1957.594	-0.061	0.097	0.7936
CNAG_00137	NA	147.745	0.613	0.203	NA
CNAG_00138	NA	587.225	0.125	0.118	0.6152
CNAG_00139	NA	408.222	0.118	0.127	0.6744
CNAG_00140	NA	1578.316	0.055	0.098	0.8193
CNAG_00141	NA	52.423	-0.512	0.279	NA
CNAG_00142	NA	360.478	-0.012	0.129	0.9814
CNAG_00143	NA	929.193	-0.139	0.105	0.5029
CNAG_00144	NA	45.198	-0.607	0.286	NA
CNAG_00145	NA	325.676	-0.174	0.133	0.5099
CNAG_00146	PBY101	277.449	-0.232	0.153	0.4286
CNAG_00147	NA	3000.02	0.01	0.1	0.9805
CNAG_00148	NA	418.478	-0.117	0.145	0.7217
CNAG_00149	NA	6576.694	0.332	0.126	0.1081
CNAG_00150	PQP1	330.83	-0.023	0.157	0.9674
CNAG_00151	NA	419.664	0.137	0.136	0.6391
