gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	511.123	-0.064	0.112	0.7166
CNAG_00003	NA	72.108	0.193	0.245	0.5986
CNAG_00004	NA	113.064	-0.05	0.188	0.8759
CNAG_00005	NA	820.241	0.13	0.105	0.372
CNAG_00006	NA	1965.086	0.165	0.084	0.1218
CNAG_00007	NA	376.158	-0.564	0.134	1.729e-4
CNAG_00008	NA	383.547	0.084	0.12	0.6479
CNAG_00009	NA	278.708	-0.155	0.135	0.4151
CNAG_00010	NA	333.878	0.089	0.141	0.6853
CNAG_00011	NA	228.009	0.181	0.143	0.3599
CNAG_00012	NA	561.433	0.099	0.126	0.5986
CNAG_00013	NA	450.903	0.108	0.115	0.5165
CNAG_00014	NA	86.56	0.309	0.21	0.2745
CNAG_00015	NA	516.389	0.563	0.123	3.8e-5
CNAG_00016	NA	290.9	-0.435	0.134	0.00549
CNAG_00017	NA	175.499	0.164	0.161	0.4773
CNAG_00018	FZC6	565.468	-0.047	0.116	0.8035
CNAG_00019	NA	2373.365	-0.494	0.09	6.473e-7
CNAG_00020	NA	1156.329	0.032	0.121	0.879
CNAG_00021	NA	385.251	-1.036	0.144	1.635e-11
CNAG_00022	NA	660.333	-0.046	0.107	0.7899
CNAG_00023	NA	64.102	-0.046	0.245	0.914
CNAG_00024	NA	773.847	-0.917	0.109	1.748e-15
CNAG_00025	VCX1	615.615	0.318	0.123	0.03303
CNAG_00026	NA	444.784	-0.304	0.122	0.04044
CNAG_00027	NA	174.633	0.127	0.155	0.5817
CNAG_00028	NA	116.808	-0.298	0.193	0.2446
CNAG_00029	NA	57.639	0.32	0.252	0.3579
CNAG_00030	NA	34.936	0.722	0.32	0.06899
CNAG_00031	MLR1	172.463	0.255	0.163	0.237
CNAG_00032	NA	81.481	0.452	0.255	0.1693
CNAG_00034	RPL9B	20061.02	-0.937	0.082	3.979e-28
CNAG_00035	NA	100.895	0.348	0.199	0.1766
CNAG_00036	SEC14-2	444.768	0.874	0.122	2.19e-11
CNAG_00038	NA	317.29	0.316	0.132	0.05141
CNAG_00039	ZFC6	24.539	0.08	0.389	0.9047
CNAG_00040	ERG11	831.252	-0.37	0.109	0.003267
CNAG_00043	NA	250.961	0.116	0.134	0.5567
CNAG_00044	NA	401.24	0.007	0.144	0.9802
CNAG_00045	NA	486.038	0.571	0.112	3.626e-6
CNAG_00046	NA	1705.931	0.005	0.098	0.9788
CNAG_00047	PKP1	85.157	0.162	0.247	0.669
CNAG_00048	NA	111.047	0.684	0.194	0.002132
CNAG_00049	NA	70.015	0.173	0.238	0.6327
CNAG_00050	NA	170.456	0.511	0.164	0.007747
CNAG_00051	SNT1	429.883	0.07	0.118	0.7029
CNAG_00052	NA	146.682	-0.12	0.179	0.6641
CNAG_00053	NA	117.586	-0.205	0.185	0.4311
CNAG_00054	NA	274.276	1.138	0.144	1.228e-13
CNAG_00055	NA	1022.746	0.396	0.109	0.001431
CNAG_00056	NA	416.19	0.199	0.123	0.2183
CNAG_00057	FPP1	1135.485	0.502	0.127	5.09e-4
CNAG_00058	NA	1577.248	-0.449	0.09	6.214e-6
CNAG_00059	NA	116.402	-0.594	0.185	0.006064
CNAG_00060	NA	230.715	-0.177	0.144	0.3727
CNAG_00061	CIT1	7713.203	-0.411	0.129	0.006374
CNAG_00062	NA	1207.62	-0.039	0.095	0.8037
CNAG_00063	CSE4	338.192	-1.101	0.128	3.201e-16
CNAG_00064	NA	1764.807	0.143	0.097	0.2704
CNAG_00065	NA	3021.609	-0.326	0.093	0.002406
CNAG_00066	NA	253.782	-0.054	0.151	0.831
CNAG_00067	SSS1	2971.355	-0.173	0.129	0.3291
CNAG_00068	NA	126.853	0.133	0.187	0.64
CNAG_00069	NA	32.434	0.208	0.354	0.7057
CNAG_00070	NA	412.114	-0.059	0.115	0.7473
CNAG_00072	NA	1271.707	0.021	0.095	0.8989
CNAG_00073	NA	327.32	-0.074	0.151	0.7623
CNAG_00074	NA	1785.415	0.264	0.09	0.01352
CNAG_00075	NA	804.677	0.224	0.123	0.1574
CNAG_00076	NDX6	311.104	-0.021	0.125	0.9226
CNAG_00077	NA	2376.254	-0.041	0.12	0.8374
CNAG_00078	NA	163.111	0.113	0.17	0.6636
CNAG_00079	NA	261.972	0.731	0.156	2.64e-5
