gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	349.298	-0.121	0.154	0.6332
CNAG_00003	NA	34.663	0.052	0.31	0.9337
CNAG_00004	NA	93.113	-0.077	0.205	0.8372
CNAG_00005	NA	524.639	-0.107	0.147	0.6604
CNAG_00006	NA	1275.014	-0.408	0.117	0.004203
CNAG_00007	NA	505.135	-0.293	0.124	0.07155
CNAG_00008	NA	260.992	0.224	0.15	0.3013
CNAG_00009	NA	210.315	0.183	0.153	0.4333
CNAG_00010	NA	264.285	-0.039	0.169	0.9062
CNAG_00011	NA	141.617	-0.435	0.192	0.08625
CNAG_00012	NA	395.402	-0.203	0.155	0.3804
CNAG_00013	NA	320.796	-0.009	0.141	0.9761
CNAG_00014	NA	43.692	0.236	0.282	0.6081
CNAG_00015	NA	142.786	0.366	0.184	0.1415
CNAG_00016	NA	312.395	-0.468	0.161	0.02112
CNAG_00017	NA	89.582	0.166	0.213	0.6367
CNAG_00018	FZC6	468.645	-0.281	0.131	0.10780000000000001
CNAG_00019	NA	2773.897	-0.542	0.122	1.666e-4
CNAG_00020	NA	811.681	-0.048	0.164	0.8762
CNAG_00021	NA	395.094	0.241	0.147	0.2475
CNAG_00022	NA	656.197	-0.226	0.118	0.1616
CNAG_00023	NA	25.959	-0.583	0.361	0.255
CNAG_00024	NA	1030.635	0.401	0.141	0.0244
CNAG_00025	VCX1	251.249	0.267	0.151	0.2068
CNAG_00026	NA	418.448	-0.153	0.146	0.5011
CNAG_00027	NA	118.413	-0.023	0.198	0.9553
CNAG_00028	NA	80.658	0.083	0.222	0.84
CNAG_00029	NA	40.704	0.352	0.322	0.482
CNAG_00030	NA	24.798	0.427	0.369	0.4535
CNAG_00031	MLR1	158.606	0.136	0.173	0.6328
CNAG_00032	NA	36.334	0.724	0.312	0.07696
CNAG_00034	RPL9B	26284.946	-0.476	0.141	0.005837
CNAG_00035	NA	26.619	0.364	0.361	0.5238
CNAG_00036	SEC14-2	71.912	0.524	0.225	0.0767
CNAG_00038	NA	167.255	0.02	0.176	0.9579
CNAG_00039	ZFC6	9.68	0.459	0.559	0.6171
CNAG_00040	ERG11	881.21	0.198	0.133	0.3046
CNAG_00043	NA	185.627	0.175	0.161	0.484
CNAG_00044	NA	370.272	-0.025	0.14	0.9293
CNAG_00045	NA	136.189	-0.118	0.185	0.7097
CNAG_00046	NA	1277.947	-0.31	0.139	0.09265
CNAG_00047	PKP1	66.65	-0.152	0.243	0.7135
