gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	457.337	-0.266	0.118	0.05077
CNAG_00003	NA	63.345	-0.043	0.253	0.9067
CNAG_00004	NA	119.8	0.242	0.187	0.2882
CNAG_00005	NA	707.843	-0.168	0.108	0.1927
CNAG_00006	NA	1662.679	-0.189	0.09	0.0696
CNAG_00007	NA	380.069	-0.374	0.126	0.00814
CNAG_00008	NA	411.519	0.389	0.121	0.003805
CNAG_00009	NA	241.713	-0.468	0.137	0.002066
CNAG_00010	NA	292.675	-0.164	0.141	0.3494
CNAG_00011	NA	186.681	-0.277	0.151	0.1194
CNAG_00012	NA	588.837	0.346	0.121	0.011
CNAG_00013	NA	436.069	0.139	0.117	0.3365
CNAG_00014	NA	89.879	0.519	0.202	0.02372
CNAG_00015	NA	591.796	0.978	0.127	2.42e-13
CNAG_00016	NA	283.196	-0.375	0.14	0.01765
CNAG_00017	NA	169.536	0.189	0.16	0.3409
CNAG_00018	FZC6	588.445	0.19	0.114	0.1612
CNAG_00019	NA	2413.679	-0.288	0.084	0.002033
CNAG_00020	NA	1118.894	0.066	0.119	0.6797
CNAG_00021	NA	415.465	-0.559	0.17	0.00311
CNAG_00022	NA	567.648	-0.376	0.112	0.002403
CNAG_00023	NA	47.337	-0.937	0.288	0.003469
CNAG_00024	NA	945.616	-0.067	0.107	0.6375
CNAG_00025	VCX1	543.084	0.103	0.12	0.5015
CNAG_00026	NA	415.352	-0.38	0.124	0.005935
CNAG_00027	NA	177.798	0.297	0.152	0.09393
CNAG_00028	NA	131.138	0.179	0.181	0.4364
CNAG_00029	NA	44.556	-0.293	0.281	0.407
CNAG_00030	NA	31.37	0.573	0.334	0.1492
CNAG_00031	MLR1	179.298	0.472	0.161	0.008821
CNAG_00032	NA	75.785	0.381	0.272	0.2473
CNAG_00034	RPL9B	21214.724	-0.548	0.095	7.121e-8
CNAG_00035	NA	97.667	0.382	0.195	0.09339
CNAG_00036	SEC14-2	427.152	0.882	0.151	4.239e-8
CNAG_00038	NA	344.781	0.635	0.142	3.581e-5
CNAG_00039	ZFC6	23.632	0.102	0.389	0.8568
CNAG_00040	ERG11	761.804	-0.512	0.112	2.38e-5
CNAG_00043	NA	320.05	0.832	0.135	7.193e-9
CNAG_00044	NA	455.817	0.466	0.155	0.007247
CNAG_00045	NA	349.534	-0.201	0.128	0.1899
CNAG_00046	NA	1461.863	-0.33	0.114	0.01002
CNAG_00047	PKP1	83.794	0.234	0.222	0.4002
CNAG_00048	NA	100.321	0.547	0.206	0.01878
CNAG_00049	NA	66.96	0.18	0.241	0.5675
CNAG_00050	NA	158.082	0.434	0.181	0.0357
CNAG_00051	SNT1	421.807	0.143	0.118	0.3237
CNAG_00052	NA	340.227	1.871	0.169	1.1040000000000001e-26
CNAG_00053	NA	96.772	-0.718	0.199	0.001088
CNAG_00054	NA	232.218	0.875	0.161	3.903e-7
CNAG_00055	NA	1148.091	0.782	0.116	1.698e-10
CNAG_00056	NA	369.419	-0.009	0.156	0.971
CNAG_00057	FPP1	2062.491	1.843	0.092	1.8429999999999995e-86
CNAG_00058	NA	1498.324	-0.471	0.109	7.896e-5
CNAG_00059	NA	118.046	-0.385	0.193	0.0885
CNAG_00060	NA	217.475	-0.222	0.144	0.1983
CNAG_00061	CIT1	9494.524	0.328	0.128	0.02441
