gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	400.967	0.14	0.179	0.6494
CNAG_00003	NA	47.493	0.086	0.369	0.9079
CNAG_00004	NA	105.931	-0.325	0.248	0.3984
CNAG_00005	NA	611.176	0.056	0.172	0.8663
CNAG_00006	NA	1461.196	-0.226	0.122	0.1918
CNAG_00007	NA	459.469	0.074	0.149	0.7878
CNAG_00008	NA	329.258	-0.169	0.166	0.534
CNAG_00009	NA	226.975	0.643	0.172	0.00211
CNAG_00010	NA	280.541	0.117	0.215	0.7627
CNAG_00011	NA	163.152	-0.165	0.22	0.6645
CNAG_00012	NA	484.149	-0.554	0.188	0.02075
CNAG_00013	NA	375.011	-0.153	0.155	0.5488
CNAG_00014	NA	64.123	-0.293	0.304	0.559
CNAG_00015	NA	337.079	-0.62	0.207	0.0188
CNAG_00016	NA	304.813	-0.1	0.204	0.7904
CNAG_00017	NA	125.159	-0.026	0.236	0.9522
CNAG_00018	FZC6	527.148	-0.477	0.15	0.01156
CNAG_00019	NA	2663.758	-0.26	0.134	0.1655
CNAG_00020	NA	955.306	-0.121	0.215	0.7521
CNAG_00021	NA	409.698	0.793	0.238	0.007436
CNAG_00022	NA	628.462	0.143	0.132	0.5061
CNAG_00023	NA	35.556	0.348	0.423	0.6288
CNAG_00024	NA	1009.633	0.462	0.178	0.047
CNAG_00025	VCX1	380.028	0.156	0.173	0.5879
CNAG_00026	NA	423.617	0.221	0.177	0.4263
CNAG_00027	NA	145.666	-0.332	0.221	0.3151
CNAG_00028	NA	103.512	-0.109	0.26	0.8231
CNAG_00029	NA	42.982	0.634	0.409	0.2965
CNAG_00030	NA	27.956	-0.145	0.456	0.8688
CNAG_00031	MLR1	169.834	-0.344	0.211	0.2682
CNAG_00032	NA	53.775	0.337	0.414	0.6331
CNAG_00034	RPL9B	24523.467	0.064	0.175	0.8477
CNAG_00035	NA	57.455	-0.049	0.35	0.9428
CNAG_00036	SEC14-2	225.051	-0.368	0.251	0.3297
CNAG_00038	NA	245.727	-0.622	0.211	0.02145
CNAG_00039	ZFC6	15.795	0.358	0.611	0.7433
CNAG_00040	ERG11	843.608	0.704	0.167	3.646e-4
CNAG_00043	NA	245.908	-0.664	0.186	0.003548
CNAG_00044	NA	412.409	-0.499	0.212	0.07702
CNAG_00045	NA	229.706	0.082	0.197	0.8247
CNAG_00046	NA	1376.457	0.013	0.18	0.9704
CNAG_00047	PKP1	75.024	-0.396	0.307	0.4092
CNAG_00048	NA	70.624	0.145	0.309	0.79990000000000006
CNAG_00049	NA	52.79	-0.746	0.364	0.1377
CNAG_00050	NA	140.571	-0.651	0.258	0.05475
CNAG_00051	SNT1	369.296	-0.194	0.163	0.4545
CNAG_00052	NA	197.554	-1.968	0.268	1.612e-11
CNAG_00053	NA	107.383	0.83	0.257	0.009828
CNAG_00054	NA	120.481	-0.952	0.302	0.01232
CNAG_00055	NA	857.553	-0.71	0.162	1.998e-4
CNAG_00056	NA	301.673	-0.105	0.222	0.7989
CNAG_00057	FPP1	1240.984	-1.179	0.123	2.254e-19
CNAG_00058	NA	1662.706	0.29	0.149	0.1629
CNAG_00059	NA	120.95	0.178	0.258	0.6926
CNAG_00060	NA	214.619	0.022	0.185	0.9504
CNAG_00061	CIT1	9536.07	-0.31	0.186	0.2517
CNAG_00062	NA	1069.029	-0.095	0.194	0.7882
CNAG_00063	CSE4	437.547	0.641	0.196	0.008872
CNAG_00064	NA	1185.99	0.237	0.135	0.2232
CNAG_00065	NA	2727.541	0.36	0.102	0.004233
CNAG_00066	NA	275.784	-0.313	0.209	0.3175
CNAG_00067	SSS1	2732.469	0.524	0.2	0.04427
CNAG_00068	NA	112.769	-0.068	0.268	0.8988
CNAG_00069	NA	19.119	-0.473	0.567	0.6238
CNAG_00070	NA	298.971	0.466	0.197	0.0767
CNAG_00072	NA	983.952	-0.254	0.159	0.2784
CNAG_00073	NA	323.963	-0.066	0.196	0.8612
CNAG_00074	NA	1380.433	-0.26	0.14	0.1902
CNAG_00075	NA	592.121	-0.525	0.166	0.01214
CNAG_00076	NDX6	236.738	0.071	0.208	0.8589
CNAG_00077	NA	1489.801	0.965	0.218	1.656e-4
CNAG_00078	NA	158.529	-0.137	0.267	0.7795
CNAG_00079	NA	194.484	-0.547	0.26	0.1258
CNAG_00080	NA	26.431	-0.225	0.486	0.8024
CNAG_00081	NA	763.563	-0.217	0.145	0.3196
CNAG_00082	NA	183.26	-0.26	0.247	0.5193
CNAG_00083	CCC1	148.842	0.097	0.26	0.8441
CNAG_00084	NA	869.183	0.036	0.187	0.9254
CNAG_00085	NA	311.363	0.296	0.161	0.1967
CNAG_00086	NA	610.077	0.573	0.184	0.01372
CNAG_00087	NA	306.381	-0.52	0.193	0.03784
CNAG_00088	NA	555.278	-0.108	0.164	0.7088
CNAG_00089	NA	342.596	0.024	0.17	0.9417
CNAG_00090	NA	412.638	0.214	0.161	0.3899
CNAG_00091	NA	532.698	-4.086	0.24	6.5129999999999984e-62
CNAG_00092	NA	1683.351	-0.255	0.125	0.1418
CNAG_00093	NA	455.464	-1.313	0.218	7.43e-8
CNAG_00094	NA	70.548	0.405	0.29	0.3611
CNAG_00095	NA	331.107	0.158	0.176	0.5886
CNAG_00096	NA	166.018	-0.481	0.218	0.1046
CNAG_00097	ITR1	114.247	0.514	0.286	0.2087
CNAG_00098	NA	382.975	0.095	0.185	0.7793
CNAG_00099	NA	641.167	0.678	0.16	3.187e-4
CNAG_00100	NA	6983.109	0.09	0.162	0.757
CNAG_00101	KEI1	625.531	0.476	0.136	0.004515
CNAG_00104	NA	1943.506	0.679	0.191	0.003806
CNAG_00106	TCO5	217.559	0.195	0.2	0.5537
CNAG_00107	NA	98.638	-0.87	0.271	0.01076
CNAG_00108	NA	1470.042	0.154	0.182	0.617
CNAG_00109	NA	1373.168	-0.354	0.154	0.0865
CNAG_00110	HPI3	516.709	0.875	0.191	8.291e-5
CNAG_00111	NA	805.988	-0.288	0.22	0.3993
CNAG_00115	NA	239.671	-0.636	0.267	0.07419
CNAG_00116	NA	23879.921	-0.067	0.192	0.8536
CNAG_00117	ERG24	782.459	0.196	0.135	0.3365
CNAG_00118	NA	350.935	0.432	0.152	0.02681
CNAG_00119	NA	158.781	-0.276	0.217	0.4147
CNAG_00120	NA	422.765	-0.091	0.196	0.8024
CNAG_00121	NA	803.775	-0.368	0.175	0.1258
CNAG_00122	NA	154.185	0.432	0.214	0.1465
CNAG_00123	NA	44.624	-0.815	0.42	0.1665
CNAG_00124	CAS32	630.61	0.456	0.233	0.1628
CNAG_00125	CRG1	58.96	0.501	0.311	0.2731
CNAG_00126	NA	732.475	0.298	0.17	0.2248
CNAG_00127	NA	90.791	0.238	0.297	0.639
CNAG_00128	NA	126.611	0.266	0.282	0.5689
CNAG_00129	NA	215.74	0.055	0.205	0.8898
CNAG_00130	RCK2	1019.178	-1.041	0.161	4.946e-9
CNAG_00131	NA	58.247	-0.735	0.344	0.1175
CNAG_00132	NA	68.535	-0.256	0.317	0.6352
CNAG_00133	NA	220.295	-1.129	0.2	5.637e-7
CNAG_00134	NA	260.788	0.039	0.215	0.9295
CNAG_00135	NA	416.938	0.205	0.192	0.5113
CNAG_00136	NA	2272.1	-0.602	0.109	1.09e-6
CNAG_00137	NA	223.653	0.576	0.214	0.03853
CNAG_00138	NA	515.217	-0.012	0.156	0.9704
CNAG_00139	NA	634.545	-1.003	0.161	2.089e-8
CNAG_00140	NA	1480.846	-0.079	0.12	0.7127
CNAG_00141	NA	72.797	-0.159	0.339	0.7994
CNAG_00142	NA	355.323	0.455	0.159	0.02612
CNAG_00143	NA	869.081	-0.045	0.132	0.8599
CNAG_00144	NA	42.789	-0.742	0.393	0.1812
CNAG_00145	NA	337.572	-0.053	0.195	0.8889
CNAG_00146	PBY101	310.183	-0.219	0.204	0.5087
CNAG_00147	NA	3977.452	-0.179	0.13	0.3702
CNAG_00148	NA	497.066	-0.176	0.189	0.5744
CNAG_00149	NA	6237.873	0.822	0.159	6.025e-6
CNAG_00150	PQP1	524.591	0.431	0.175	0.06214
CNAG_00151	NA	373.627	-0.142	0.192	0.6692
CNAG_00152	NA	297.769	-0.157	0.175	0.59
CNAG_00153	NA	84.885	0.138	0.277	0.7859
CNAG_00154	NA	606.076	-0.585	0.167	0.004555
CNAG_00155	NA	0.53	1.25	3.406	0.8479
CNAG_00156	SP1	391.722	0.18	0.209	0.6105
CNAG_00157	NA	1350.841	0.342	0.18	0.1777
CNAG_00158	HOC3	264.259	0.023	0.18	0.9476
CNAG_00159	NA	261.034	-0.221	0.188	0.4594
CNAG_00160	NA	50.834	-0.837	0.363	0.08557
CNAG_00161	NA	62.616	-1.498	0.365	5.532e-4
CNAG_00162	AOX1	213.423	-0.091	0.237	0.8392
CNAG_00163	NA	319.166	0.097	0.179	0.7651
CNAG_00164	NA	260.399	0.453	0.218	0.1313
CNAG_00165	NA	463.123	0.099	0.147	0.7007
CNAG_00166	NA	296.826	0.472	0.167	0.02813
CNAG_00167	NA	346.149	-0.39	0.181	0.1126
