gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	369.263	-0.619	0.186	0.02154
CNAG_00003	NA	42.696	-0.026	0.388	0.984
CNAG_00004	NA	96.474	0.063	0.265	0.9319
CNAG_00005	NA	511.968	-0.451	0.246	0.2882
CNAG_00006	NA	1430.954	-0.113	0.141	0.7143
CNAG_00007	NA	511.751	0.041	0.17	0.9314
CNAG_00008	NA	252.207	-0.032	0.19	0.9543
CNAG_00009	NA	224.095	0.268	0.192	0.4521
CNAG_00010	NA	264.028	0.321	0.24	0.4784
CNAG_00011	NA	147.882	0.181	0.227	0.7143
CNAG_00012	NA	384.378	0.027	0.198	0.963
CNAG_00013	NA	291.582	0.007	0.219	0.9899
CNAG_00014	NA	43.749	-0.18	0.365	0.8407
CNAG_00015	NA	209.251	0.172	0.219	0.7172
CNAG_00016	NA	342.419	-0.258	0.219	0.5481
CNAG_00017	NA	87.696	0.116	0.309	0.8818
CNAG_00018	FZC6	480.176	-0.135	0.215	0.7848
CNAG_00019	NA	2872.657	-0.177	0.168	0.6036
CNAG_00020	NA	842.409	-0.174	0.201	0.6865
CNAG_00021	NA	553.78	-0.647	0.257	0.1069
CNAG_00022	NA	662.947	0.055	0.143	0.8776
CNAG_00023	NA	31.852	0.978	0.464	NA
CNAG_00024	NA	995.823	0.007	0.272	0.9927
CNAG_00025	VCX1	350.553	0.412	0.237	0.3187
CNAG_00026	NA	523.727	-0.633	0.195	0.02604
CNAG_00027	NA	116.782	-0.284	0.242	0.5512
CNAG_00028	NA	89.077	-0.453	0.411	0.5827
CNAG_00029	NA	32.694	0.103	0.449	0.9361
CNAG_00030	NA	20.649	1.173	0.581	NA
CNAG_00031	MLR1	129.238	-0.029	0.247	0.9693
CNAG_00032	NA	35.253	-0.734	0.49	0.4106
CNAG_00034	RPL9B	33260.608	-0.35	0.15	0.1462
CNAG_00035	NA	41.011	0.247	0.415	0.7984
CNAG_00036	SEC14-2	160.392	1.213	0.263	3.333e-4
CNAG_00038	NA	149.505	0.214	0.245	0.684
CNAG_00039	ZFC6	12.613	0.07	0.734	NA
CNAG_00040	ERG11	1001.055	0.269	0.17	0.3774
CNAG_00043	NA	171.166	-0.112	0.225	0.8392
CNAG_00044	NA	328.678	-0.117	0.3	0.8774
CNAG_00045	NA	189.636	-0.293	0.232	0.5142
CNAG_00046	NA	1339.192	-0.232	0.161	0.4355
CNAG_00047	PKP1	59.411	0.428	0.349	0.5262
CNAG_00048	NA	43.15	-0.3	0.372	0.7109
CNAG_00049	NA	40.792	0.238	0.472	0.8364
CNAG_00050	NA	118.836	0.617	0.35	0.3117
CNAG_00051	SNT1	340.237	0.076	0.206	0.8825
CNAG_00052	NA	75.48	0.819	0.33	0.1132
CNAG_00053	NA	101.85	0.905	0.304	0.04432
CNAG_00054	NA	74.863	0.139	0.334	0.8708
CNAG_00055	NA	644.383	0.131	0.22	0.7984
CNAG_00056	NA	279.29	0.325	0.261	0.5209
CNAG_00057	FPP1	485.468	1.143	0.165	2.013e-9
CNAG_00058	NA	1836.944	-0.268	0.152	0.311
CNAG_00059	NA	122.245	0.144	0.259	0.8146
CNAG_00060	NA	224.97	0.223	0.2	0.5745
CNAG_00061	CIT1	9921.179	-0.343	0.203	0.3344
CNAG_00062	NA	1032.4	0.217	0.178	0.5291
CNAG_00063	CSE4	438.248	0.157	0.164	0.6489
CNAG_00064	NA	1126.453	0.679	0.243	0.06399
CNAG_00065	NA	2982.325	-0.171	0.149	0.5636
CNAG_00066	NA	202.483	0.003	0.222	0.9968
CNAG_00067	SSS1	2686.325	-0.198	0.227	0.6849
CNAG_00068	NA	76.536	-0.051	0.299	0.9538
CNAG_00069	NA	18.702	-0.071	0.558	NA
CNAG_00070	NA	214.488	-0.312	0.245	0.5083
CNAG_00072	NA	950.216	0.323	0.196	0.3516
CNAG_00073	NA	260.262	0.054	0.204	0.9211
CNAG_00074	NA	941.042	0.612	0.143	0.001165
CNAG_00075	NA	449.735	0.424	0.183	0.1481
CNAG_00076	NDX6	237.765	-0.085	0.255	0.8993
CNAG_00077	NA	1490.347	0.428	0.223	0.2593
CNAG_00078	NA	140.073	0.342	0.271	0.5152
CNAG_00079	NA	116.986	-0.23	0.237	0.6445
CNAG_00080	NA	19.447	0.748	0.599	NA
CNAG_00081	NA	702.096	-0.326	0.192	0.3315
CNAG_00082	NA	151.908	0.035	0.274	0.9666
CNAG_00083	CCC1	134.984	0.339	0.281	0.5338
CNAG_00084	NA	1143.313	-0.141	0.184	0.7267
CNAG_00085	NA	361.638	-0.089	0.191	0.8522
CNAG_00086	NA	774.394	-0.553	0.248	0.1693
CNAG_00087	NA	245.841	0.45	0.251	0.3011
CNAG_00088	NA	601.349	-0.026	0.168	0.9578
CNAG_00089	NA	364.305	-0.228	0.181	0.5155
CNAG_00090	NA	395.888	0.04	0.16	0.9278
CNAG_00091	NA	85.183	0.962	0.342	0.0625
CNAG_00092	NA	1704.542	-0.062	0.201	0.909
CNAG_00093	NA	226.783	1.302	0.239	8.953e-6
CNAG_00094	NA	49.699	0.001	0.338	0.9993
CNAG_00095	NA	336.488	-0.02	0.173	0.9693
CNAG_00096	NA	147.985	-0.29	0.259	0.573
CNAG_00097	ITR1	80.809	0.035	0.343	0.9743
CNAG_00098	NA	273.818	0.15	0.197	0.7293
CNAG_00099	NA	736.625	-0.141	0.196	0.7443
CNAG_00100	NA	5817.717	-0.872	0.296	0.04749
CNAG_00101	KEI1	624.718	-0.109	0.147	0.7371
CNAG_00104	NA	2364.695	-0.537	0.193	0.06654
CNAG_00106	TCO5	207.597	-0.263	0.26	0.6269
CNAG_00107	NA	49.373	0.81	0.393	0.2115
CNAG_00108	NA	1417.741	-0.016	0.251	0.984
CNAG_00109	NA	1498.937	-0.135	0.128	0.6059
CNAG_00110	HPI3	465.244	0.788	0.206	0.005213
CNAG_00111	NA	819.568	-0.198	0.189	0.6092
CNAG_00115	NA	255.458	0.424	0.297	0.4411
CNAG_00116	NA	32417.321	-0.377	0.211	0.3039
CNAG_00117	ERG24	793.571	-0.206	0.152	0.4717
CNAG_00118	NA	306.013	-0.44	0.201	0.1783
CNAG_00119	NA	122.555	0.185	0.267	0.756
CNAG_00120	NA	423.286	-0.104	0.205	0.8362
CNAG_00121	NA	677.354	0.185	0.189	0.6377
CNAG_00122	NA	179.868	0.194	0.242	0.7127
CNAG_00123	NA	17.983	-0.149	0.565	NA
CNAG_00124	CAS32	538.985	0.222	0.241	0.6636
CNAG_00125	CRG1	53.344	-0.297	0.33	0.6744
CNAG_00126	NA	581.954	-0.084	0.193	0.8643
CNAG_00127	NA	75.903	0.352	0.306	0.5618
CNAG_00128	NA	143.272	0.043	0.284	0.9585
CNAG_00129	NA	194.168	0.383	0.208	0.2837
CNAG_00130	RCK2	566.688	0.476	0.168	0.06062
CNAG_00131	NA	53.347	0.023	0.356	0.984
CNAG_00132	NA	39.319	-0.172	0.418	0.8726
CNAG_00133	NA	139.787	0.048	0.245	0.9457
CNAG_00134	NA	211.593	-0.39	0.223	0.3172
CNAG_00135	NA	446.545	0.055	0.343	0.9552
CNAG_00136	NA	1734.355	0.153	0.138	0.5804
CNAG_00137	NA	199.199	0.161	0.24	0.7684
CNAG_00138	NA	516.603	0.163	0.249	0.7729
CNAG_00139	NA	346.86	0.187	0.239	0.7208
CNAG_00140	NA	1565.248	-0.194	0.139	0.4522
CNAG_00141	NA	65.348	-0.467	0.322	0.4329
CNAG_00142	NA	407.355	-0.093	0.168	0.8153
CNAG_00143	NA	1000.61	-0.143	0.17	0.6988
CNAG_00144	NA	40.232	0.895	0.398	0.163
CNAG_00145	NA	351.853	0.382	0.248	0.3932
CNAG_00146	PBY101	250.634	0.101	0.253	0.8762
CNAG_00147	NA	3490.399	-0.45	0.16	0.062330000000000003
CNAG_00148	NA	422.505	-0.059	0.196	0.9108
CNAG_00149	NA	7546.383	-0.461	0.197	0.1423
CNAG_00150	PQP1	477.844	0.002	0.191	0.9968
CNAG_00151	NA	322.911	0.1	0.23	0.8643
CNAG_00152	NA	232.155	0.079	0.211	0.8818
CNAG_00153	NA	83.38	-0.383	0.291	0.4908
CNAG_00154	NA	383.825	0.281	0.193	0.4294
CNAG_00155	NA	0.438	-0.729	3.296	NA
CNAG_00156	SP1	331.118	0.341	0.212	0.3677
CNAG_00157	NA	1203.047	-0.492	0.189	0.09354
CNAG_00158	HOC3	229.824	0.833	0.195	0.001223
CNAG_00159	NA	239.31	0.312	0.194	0.3673
CNAG_00160	NA	28.569	-0.193	0.443	NA
CNAG_00161	NA	39.481	-0.215	0.4	0.8239
CNAG_00162	AOX1	147.858	-1.66	0.279	5.911e-7
CNAG_00163	NA	252.972	-0.128	0.207	0.7893
CNAG_00164	NA	138.195	1.443	0.316	3.719e-4
CNAG_00165	NA	535.148	0.128	0.144	0.6786
CNAG_00166	NA	330.679	0.006	0.17	0.9899
CNAG_00167	NA	236.842	0.002	0.208	0.9969
CNAG_00171	NA	51.62	-0.33	0.328	0.6285
CNAG_00172	NA	345.673	0.628	0.211	0.04417
CNAG_00173	NA	216.632	0.368	0.283	0.4938
CNAG_00174	NA	363.426	-0.151	0.261	0.804
CNAG_00175	NA	95.374	0.028	0.261	0.9716
CNAG_00176	NA	1951.324	-0.545	0.223	0.1202
CNAG_00177	NA	107.688	0.149	0.305	0.8414
CNAG_00178	NA	656.391	0.327	0.309	0.6013
CNAG_00179	GPA2	91.554	-0.443	0.397	0.5768
CNAG_00180	NA	189.421	0.137	0.275	0.8392
CNAG_00181	FYV10	207.325	0.266	0.239	0.5791
CNAG_00182	VPS29	246.487	0.557	0.227	0.1185
CNAG_00183	NA	1177.775	-0.178	0.253	0.7519
CNAG_00184	NA	548.266	-0.162	0.159	0.6235
CNAG_00185	NA	450.27	-0.136	0.153	0.6792
CNAG_00186	NA	270.738	-0.296	0.241	0.5257
CNAG_00187	UBP16	306.471	-0.012	0.184	0.984
CNAG_00188	NA	327.319	0.18	0.236	0.7293
CNAG_00189	NA	130.581	0.114	0.299	0.88
CNAG_00190	NA	1708.532	-0.405	0.219	0.2834
CNAG_00191	NA	183.7	-0.149	0.297	0.8392
CNAG_00192	NA	49.25	-0.069	0.399	0.9528
CNAG_00193	GAT1	843.245	-0.529	0.211	0.1097
CNAG_00194	NA	1802.916	-0.202	0.126	0.3718
CNAG_00195	NA	256.302	0.23	0.21	0.5871
CNAG_00229	NA	141.209	-0.064	0.302	0.9412
CNAG_00231	NA	50.063	0.136	0.364	0.8818
CNAG_00232	RPL30	18588.437	-0.399	0.177	0.1627
CNAG_00233	NA	995.801	-0.26	0.15	0.3197
CNAG_00234	NA	301.828	-0.265	0.213	0.5209
CNAG_00235	AMT1	219.116	-0.137	0.237	0.8032
CNAG_00236	NA	131.077	-0.298	0.27	0.5826
CNAG_00237	NA	1654.048	0.131	0.169	0.7217
CNAG_00238	NA	5985.229	-0.368	0.211	0.3179
CNAG_00239	YAP1	209.235	-0.421	0.252	0.3428
CNAG_00240	NA	353.257	0.208	0.206	0.6269
CNAG_00241	NA	171.756	-0.033	0.205	0.9547
CNAG_00242	NA	18.541	-0.327	0.643	NA
CNAG_00243	NA	200.059	0.255	0.217	0.5489
CNAG_00246	NA	284.945	0.368	0.208	0.308
CNAG_00247	LYS9	102.738	0.115	0.262	0.8627
CNAG_00248	NA	157.185	0.096	0.229	0.869
CNAG_00249	NA	285.858	0.47	0.185	0.1018
CNAG_00250	NA	622.642	0.068	0.198	0.8957
CNAG_00251	NA	15.664	-0.007	0.631	NA
CNAG_00252	NA	398.944	-0.414	0.217	0.2624
CNAG_00253	NA	318.008	-0.32	0.262	0.5286
CNAG_00254	NA	207.055	0.281	0.278	0.6269
CNAG_00255	NA	407.445	-0.217	0.195	0.577
CNAG_00256	NA	828.194	0.098	0.166	0.7996
CNAG_00257	NA	369.766	-0.171	0.211	0.7108
CNAG_00258	NA	220.159	0.588	0.208	0.06134
CNAG_00259	NA	343.828	0.256	0.186	0.4596
CNAG_00260	NA	730.895	0.253	0.18	0.4485
CNAG_00261	NA	12795.549	-0.257	0.253	0.6236
CNAG_00262	NA	33.992	0.921	0.437	0.198
CNAG_00263	PTP4	115.4	-0.017	0.263	0.984
CNAG_00264	NA	785.841	-0.078	0.203	0.88
CNAG_00265	IDI1	2370.04	-0.066	0.178	0.8825
CNAG_00266	YFH7	175.296	0.052	0.219	0.9318
CNAG_00267	NA	66.48	-0.054	0.322	0.9543
CNAG_00268	ILV2	927.646	-0.624	0.284	0.1764
CNAG_00269	NA	244.393	2.241	0.466	1.534e-4
CNAG_00270	NA	2924.349	-0.236	0.184	0.5052
CNAG_00271	NA	262.555	0.082	0.198	0.8723
CNAG_00272	NA	115.762	-0.49	0.293	0.3415
CNAG_00273	NA	73.366	-0.121	0.316	0.879
CNAG_00274	NA	165.509	0.097	0.233	0.8704
CNAG_00275	NA	227.705	-0.253	0.241	0.6053
CNAG_00276	NA	114.887	0.082	0.309	0.9211
CNAG_00277	NA	126.369	0.087	0.247	0.8926
CNAG_00278	NA	228.071	0.338	0.216	0.3819
CNAG_00279	NA	638.243	-0.373	0.248	0.4068
CNAG_00280	NA	1926.104	0.009	0.157	0.9843
CNAG_00283	NA	58.633	-0.248	0.377	0.7721
CNAG_00284	NA	57.3	0.787	0.345	0.1549
CNAG_00285	NA	69.277	0.276	0.293	0.6544
CNAG_00286	NAB2	446.026	-0.141	0.182	0.7217
CNAG_00287	NA	5054.514	-0.084	0.16	0.8294
CNAG_00288	NA	148.534	0.093	0.232	0.8756
CNAG_00289	NA	131.123	-0.136	0.284	0.8467
CNAG_00290	NA	336.406	0.166	0.17	0.6411
CNAG_00291	NA	11.341	-0.591	0.702	NA
CNAG_00292	NA	2000.907	-0.607	0.163	0.007064
CNAG_00293	RAS1	923.493	0.011	0.149	0.9828
CNAG_00294	NA	483.669	-0.112	0.191	0.8013
CNAG_00295	NA	0.952	-2.048	2.588	NA
CNAG_00299	NA	167.147	-0.469	0.262	0.3028
CNAG_00300	NA	287.037	0.125	0.285	0.863
CNAG_00301	NA	849.125	0.464	0.241	0.2575
CNAG_00302	NA	114.53	0.733	0.322	0.1569
CNAG_00303	NA	10.282	-0.663	0.724	NA
CNAG_00304	NA	222.667	0.185	0.232	0.7143
CNAG_00305	NA	5576.834	-0.335	0.199	0.3354
CNAG_00306	MTN2	56.777	-0.45	0.38	0.5456
CNAG_00307	NA	5531.278	-0.586	0.21	0.06438
CNAG_00308	NA	79.84	0.027	0.298	0.9779
CNAG_00309	NA	182.794	-0.061	0.208	0.9132
CNAG_00310	NA	124.078	0.516	0.234	0.174
CNAG_00311	NA	1055.722	0.054	0.193	0.9174
CNAG_00312	NA	275.311	0.132	0.183	0.7431
CNAG_00313	NA	106.542	0.378	0.272	0.4557
CNAG_00314	NA	131.768	0.177	0.245	0.7441
CNAG_00315	NA	87.328	0.555	0.365	0.4006
CNAG_00316	HAM1	623.198	0.007	0.216	0.99
CNAG_00317	NA	200.325	0.001	0.216	0.9993
CNAG_00318	NA	1379.437	0.14	0.179	0.718
CNAG_00319	NA	703.89	0.155	0.16	0.6447
CNAG_00320	NA	154.904	0.346	0.213	0.3595
CNAG_00321	NA	13.452	0.645	0.702	NA
CNAG_00322	NA	247.052	-0.436	0.29	0.4089
CNAG_00323	NA	9.733	-0.197	0.778	NA
CNAG_00326	NA	1055.781	-0.238	0.136	0.3176
CNAG_00327	NA	86.177	-0.037	0.334	0.9708
CNAG_00328	NA	229.125	-0.103	0.283	0.8876
CNAG_00329	NA	2053.084	-0.02	0.179	0.971
CNAG_00330	NA	288.67	-0.131	0.218	0.7966
CNAG_00331	NA	46.824	0.198	0.383	0.8327
CNAG_00332	SIP4	243.068	-0.105	0.207	0.8354
CNAG_00333	NA	211.802	0.999	0.25	0.003082
CNAG_00334	NA	70877.285	-0.266	0.188	0.4456
