gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	304.263	0.6	0.164	0.001072
CNAG_00003	NA	36.741	-0.469	0.336	0.2683
CNAG_00004	NA	85.994	0.172	0.24	0.6052
CNAG_00005	NA	385.937	0.422	0.206	0.0874
CNAG_00006	NA	1214.733	0.263	0.147	0.1439
CNAG_00007	NA	485.269	0.764	0.162	1.798e-5
CNAG_00008	NA	206.539	-0.099	0.19	0.7157
CNAG_00009	NA	203.159	-0.344	0.185	0.127
CNAG_00010	NA	230.508	-0.092	0.186	0.734
CNAG_00011	NA	112.897	-0.069	0.211	0.8249
CNAG_00012	NA	297.445	0.113	0.178	0.652
CNAG_00013	NA	218.161	0.069	0.206	0.8206
CNAG_00014	NA	32.696	-0.279	0.349	0.5568
CNAG_00015	NA	171.581	-1.417	0.194	5.906e-12
CNAG_00016	NA	318.127	0.873	0.175	5.055e-6
CNAG_00017	NA	60.058	-0.573	0.287	0.0968
CNAG_00018	FZC6	410.549	0.474	0.192	0.03473
CNAG_00019	NA	2567.336	0.921	0.146	4.355e-9
CNAG_00020	NA	712.232	0.205	0.157	0.3038
CNAG_00021	NA	621.786	0.632	0.2	0.005327
CNAG_00022	NA	606.272	0.52	0.148	0.00179
CNAG_00023	NA	20.155	-1.57	0.458	0.002377
CNAG_00024	NA	987.85	0.303	0.21	0.2506
CNAG_00025	VCX1	325.718	-1.174	0.194	1.92e-8
CNAG_00026	NA	543.346	0.976	0.161	1.691e-8
CNAG_00027	NA	94.156	0.285	0.229	0.3312
CNAG_00028	NA	77.096	0.229	0.333	0.6211
CNAG_00029	NA	23.94	-0.13	0.4	0.8269
CNAG_00030	NA	17.513	-0.991	0.516	0.1127
CNAG_00031	MLR1	104.055	0.476	0.224	0.07558
CNAG_00032	NA	26.531	-0.11	0.394	0.8534
CNAG_00034	RPL9B	34887.169	1.063	0.147	1.115e-11
CNAG_00035	NA	32.091	-1.685	0.381	5.881e-5
CNAG_00036	SEC14-2	149.801	-3.128	0.239	3.453e-37
CNAG_00038	NA	92.711	-0.477	0.229	0.08188
CNAG_00039	ZFC6	10.416	-1.101	0.63	0.1537
CNAG_00040	ERG11	1050.356	0.04	0.152	0.8614
CNAG_00043	NA	139.219	0.142	0.216	0.6385
CNAG_00044	NA	269.026	0.515	0.236	0.06671
CNAG_00045	NA	138.166	-0.673	0.221	0.007612
