gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	424.112	0.131	0.13	0.3884
CNAG_00003	NA	47.176	-0.971	0.308	0.003333
CNAG_00004	NA	100.249	0.293	0.205	0.2072
CNAG_00005	NA	675.916	-0.081	0.122	0.5824
CNAG_00006	NA	1655.866	-0.048	0.096	0.6791
CNAG_00007	NA	401.945	1.18	0.135	2.102e-17
CNAG_00008	NA	290.794	-0.29	0.137	0.05526
CNAG_00009	NA	206.013	-0.112	0.163	0.5658
CNAG_00010	NA	270.145	-0.094	0.15	0.6073
CNAG_00011	NA	195.679	-0.015	0.165	0.945
CNAG_00012	NA	479.398	0.049	0.138	0.7738
CNAG_00013	NA	396.042	0.122	0.134	0.4405
CNAG_00014	NA	62.264	-0.731	0.254	0.007629
CNAG_00015	NA	326.299	-1.705	0.147	5.774e-30
CNAG_00016	NA	296.992	0.972	0.149	3.611e-10
CNAG_00017	NA	123.06	-0.654	0.195	0.001745
CNAG_00018	FZC6	479.548	0.172	0.128	0.2374
CNAG_00019	NA	2558.474	1.139	0.098	5.1709999999999996e-30
CNAG_00020	NA	851.999	-0.327	0.133	0.02405
CNAG_00021	NA	295.588	0.918	0.148	2.746e-9
CNAG_00022	NA	693.032	0.706	0.114	2.481e-9
CNAG_00023	NA	36.974	-1.17	0.329	8.643e-4
CNAG_00024	NA	754.262	1.308	0.124	8.195000000000001e-25
CNAG_00025	VCX1	416.247	-0.988	0.132	5.025e-13
CNAG_00026	NA	467.135	0.923	0.126	1.587e-12
CNAG_00027	NA	140.456	-0.15	0.173	0.4638
CNAG_00028	NA	82.906	-0.067	0.221	0.8113
CNAG_00029	NA	47.622	-0.252	0.288	0.4579
CNAG_00030	NA	31.875	-0.295	0.363	0.4938
CNAG_00031	MLR1	164.587	0.22	0.163	0.2373
CNAG_00032	NA	54.583	-1.215	0.278	3.482e-5
CNAG_00034	RPL9B	21588.63	1.52	0.104	6.562e-47
CNAG_00035	NA	60.567	-1.632	0.273	9.063e-9
CNAG_00036	SEC14-2	274.964	-2.479	0.18	7.578999999999999e-42
CNAG_00038	NA	242.162	-0.52	0.15	0.00112
CNAG_00039	ZFC6	17.77	-0.422	0.445	0.4187
CNAG_00040	ERG11	775.086	0.711	0.115	2.565e-9
CNAG_00043	NA	210.976	-0.006	0.154	0.9786
CNAG_00044	NA	367.52	0.326	0.132	0.02286
CNAG_00045	NA	330.902	-1.306	0.139	4.4470000000000005e-20
CNAG_00046	NA	1467.479	0.161	0.103	0.1639
CNAG_00047	PKP1	69.607	-0.143	0.261	0.6543
CNAG_00048	NA	77.045	-1.366	0.237	2.981e-8
CNAG_00049	NA	61.402	0.058	0.245	0.8516
