gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00002	NA	359.126	0.139	0.141	0.4074
CNAG_00003	NA	45.598	-0.382	0.294	0.2651
CNAG_00004	NA	104.23	-0.07	0.206	0.7885
CNAG_00005	NA	558.427	0.048	0.131	0.7717
CNAG_00006	NA	1257.599	-0.056	0.119	0.7104
CNAG_00007	NA	392.072	0.902	0.133	1.092e-10
CNAG_00008	NA	350.53	-0.28	0.148	0.09358
CNAG_00009	NA	209.495	0.588	0.155	4.483e-4
CNAG_00010	NA	260.962	0.364	0.153	0.03168
CNAG_00011	NA	137.362	-0.036	0.189	0.8848
CNAG_00012	NA	478.031	-0.391	0.15	0.01841
CNAG_00013	NA	368.12	-0.066	0.14	0.7104
CNAG_00014	NA	70.303	-0.721	0.242	0.006432
CNAG_00015	NA	414.521	-1.848	0.155	2.341e-31
CNAG_00016	NA	249.151	0.538	0.153	0.001195
CNAG_00017	NA	127.699	-0.478	0.192	0.02495
CNAG_00018	FZC6	496.594	-0.118	0.132	0.4555
CNAG_00019	NA	2167.486	0.503	0.105	6.789e-6
CNAG_00020	NA	920.13	-0.069	0.153	0.723
CNAG_00021	NA	378.829	0.799	0.178	2.687e-5
CNAG_00022	NA	543.839	0.739	0.124	1.803e-8
CNAG_00023	NA	25.012	-0.202	0.385	0.67490000000000006
CNAG_00024	NA	1040.667	0.79	0.124	1.443e-9
CNAG_00025	VCX1	386.303	-0.591	0.134	3.528e-5
CNAG_00026	NA	371.411	0.581	0.137	7.127e-5
CNAG_00027	NA	147.149	-0.302	0.183	0.1488
CNAG_00028	NA	104.316	-0.307	0.206	0.1965
CNAG_00029	NA	42.381	0.618	0.313	0.07992
CNAG_00030	NA	31.324	0.07	0.352	0.8776
CNAG_00031	MLR1	179.403	0.116	0.166	0.5678
CNAG_00032	NA	61	-0.491	0.271	0.1101
CNAG_00034	RPL9B	19473.084	0.8	0.144	1.504e-7
CNAG_00035	NA	62.63	-1.467	0.272	3.554e-7
CNAG_00036	SEC14-2	276.552	-2.268	0.191	5.109e-31
CNAG_00038	NA	267.508	-0.866	0.159	2.679e-7
CNAG_00039	ZFC6	16.344	-0.647	0.456	0.2189
CNAG_00040	ERG11	788.556	1.03	0.135	2.896e-13
CNAG_00043	NA	279.95	-0.613	0.155	2.334e-4
CNAG_00044	NA	424.33	-0.078	0.151	0.6813
CNAG_00045	NA	207.265	-0.86	0.169	1.768e-6
CNAG_00046	NA	1175.35	0.267	0.142	0.0948
CNAG_00047	PKP1	73.126	-0.087	0.235	0.7706
CNAG_00048	NA	81.932	-0.566	0.23	0.02649
CNAG_00049	NA	47.823	-0.644	0.293	0.04921
CNAG_00050	NA	140.234	-0.215	0.205	0.378
CNAG_00051	SNT1	360.781	-0.037	0.135	0.8296
CNAG_00052	NA	268.994	-2.193	0.195	6.64e-28
CNAG_00053	NA	95.934	1.124	0.211	5.287e-7
CNAG_00054	NA	143.66	-2.636	0.229	4.049e-29
CNAG_00055	NA	960.115	-0.735	0.136	3.164e-7
CNAG_00056	NA	284.405	-0.2	0.173	0.3255
CNAG_00057	FPP1	1753.467	-1.651	0.109	8.245e-50
CNAG_00058	NA	1436.35	0.829	0.129	9.347e-10
CNAG_00059	NA	104.667	0.579	0.217	0.01518
CNAG_00060	NA	191.711	0.388	0.165	0.03376
CNAG_00061	CIT1	9645.423	0.281	0.129	0.05203
CNAG_00062	NA	832.54	0.523	0.154	0.0017
CNAG_00063	CSE4	400.556	1.149	0.164	2.115e-11
CNAG_00064	NA	977.912	0.191	0.121	0.1676
CNAG_00065	NA	2238.052	0.701	0.106	3.598e-10
CNAG_00066	NA	325.307	-0.293	0.155	0.09313
CNAG_00067	SSS1	2512.61	0.793	0.129	5.188e-9
CNAG_00068	NA	133.541	-0.476	0.205	0.03656
CNAG_00069	NA	17.848	-1.183	0.458	0.01938
CNAG_00070	NA	306.615	-0.229	0.153	0.1913
CNAG_00072	NA	797.637	0.007	0.122	0.9644
CNAG_00073	NA	328.224	0.227	0.153	0.1992
