gene	geneName	log2FC_EGTA_delta	padj_EGTA_delta	log2FC	padj
CNAG_01653	CIG1	8.731	1.488999999999999e-261	4.744	3.351e-57
CNAG_05278	NA	4.018	4.935e-17	6.263	1.517e-5
CNAG_05662	PTP1	3.94	7.355999999999997e-136	2.72	1.744e-6
CNAG_07784	NA	3.592	2.2529999999999994e-101	2.303	9.947e-14
CNAG_03772	HXS1	2.951	6.518e-17	1.076	1.954e-5
CNAG_04621	NA	2.617	5.1709999999999993e-79	1.321	4.881e-11
CNAG_03746	NA	2.56	8.968999999999999e-37	2.722	1.849e-8
CNAG_03873	NA	2.39	1.4139999999999996e-67	1.036	6.179e-5
CNAG_01384	NA	2.333	5.188e-20	1.126	0.0189
CNAG_02083	SIT2	2.324	1.589e-44	3.012	1.084e-28
CNAG_00979	CTR4	2.301	4.068999999999999e-67	6.945	0
CNAG_01603	NA	2.177	1.2699999999999999e-99	1.162	9.721e-13
CNAG_05387	NA	2.108	2.026e-63	2.093	4.9669999999999996e-23
CNAG_05381	ITR3C	2.006	7.581e-20	1.583	0.004012
CNAG_00871	CLR3	1.976	9.086e-32	1.305	1.045e-4
CNAG_02045	NA	1.954	2.21e-15	1.255	0.04719
CNAG_05138	NA	1.873	3.243e-52	1.038	0.02742
CNAG_01751	NA	1.78	1.307e-57	1.022	1.419e-5
CNAG_03874	NA	1.775	9.436e-33	1.56	5.565e-12
CNAG_02839	NA	1.75	4.573e-29	2.084	2.55e-12
CNAG_03498	FRE201	1.726	9.753e-18	2.745	2.6239999999999996e-22
CNAG_00349	NA	1.717	2.607e-9	1.658	9.888e-4
CNAG_05929	NA	1.673	1.839e-17	1.53	2.786e-5
CNAG_02893	NA	1.66	2.949e-6	3.112	2.437e-4
CNAG_05431	RIM101	1.66	3.904e-42	1.049	8.289e-11
CNAG_04092	NA	1.616	2.137e-8	1.973	0.008151
CNAG_04920	NA	1.604	3.804e-28	1.087	1.787e-6
CNAG_00815	SIT1	1.599	4.556e-35	1.523	9.564e-30
CNAG_04388	SOD2	1.59	1.5139999999999996e-67	1.866	3.119e-40
CNAG_05867	NA	1.585	1.636e-12	1.015	7.963e-4
CNAG_00699	LPI15	1.576	6.993e-49	1.327	1.394e-15
CNAG_06102	NA	1.559	1.274e-22	1.757	2.828e-5
CNAG_01242	HAPX	1.512	2.687e-18	1.006	3.167e-4
CNAG_06632	ABC1	1.498	4.499e-22	1.012	2.191e-6
CNAG_01052	NA	1.483	8.415999999999998e-47	1.961	8.327e-11
CNAG_04337	NA	1.478	1.995e-9	1.449	0.001164
CNAG_04103	NA	1.471	3.331e-9	1.085	0.03347
CNAG_04142	NA	1.426	1.03e-26	1.597	7.866e-10
CNAG_02775	BIM1	1.403	4.556e-35	4.101	1.5339999999999992e-248
CNAG_07334	FRE4	1.344	3.5580000000000004e-20	3.012	9.584999999999994e-145
CNAG_05410	NA	1.317	9.112e-25	1.153	2.919e-6
CNAG_05676	NA	1.279	1.413e-19	1.835	1.013e-16
CNAG_06821	FRE2	1.251	2.2200000000000003e-20	1.348	8.908e-11
CNAG_05264	NA	1.241	7.635e-29	1.648	1.735e-24
CNAG_05293	NA	1.232	1.2339999999999999e-33	1.226	6.332e-14
CNAG_07691	NA	1.229	4.367e-11	1.015	0.005018
CNAG_06000	NA	1.214	2.765e-38	1.167	1.51e-14
CNAG_06897	NA	1.211	5.866e-7	1.136	0.001003
CNAG_00876	FRE7	1.189	1.594e-13	3.727	6.116999999999999e-109
CNAG_07335	NA	1.155	6.769e-18	1.738	1.391e-14
CNAG_02958	CFO2	1.137	6.762e-14	1.485	3.828e-20
CNAG_05479	NA	1.133	2.449e-12	1.166	4.466e-4
CNAG_06241	CFO1	1.118	2.666e-16	1.328	1.029e-27
CNAG_05158	NA	1.095	1.922e-37	1.409	5.571e-29
CNAG_04622	NA	1.093	1.399e-14	1.377	1.563e-12
CNAG_07519	NA	1.074	1.653e-17	1.636	2.1400000000000003e-28
CNAG_03295	NA	1.025	9.214e-18	1.4	1.105e-9
CNAG_01448	NA	1.016	2.555e-14	1.034	1.737e-6
