ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0042254	ribosome biogenesis	103	41	CNAG_00142,CNAG_00259,CNAG_00513,CNAG_00656,CNAG_01198,CNAG_01236,CNAG_01300,CNAG_01437,CNAG_01564,CNAG_02209,CNAG_02437,CNAG_02982,CNAG_03001,CNAG_03302,CNAG_03435,CNAG_03577,CNAG_03603,CNAG_03724,CNAG_03789,CNAG_03820,CNAG_03878,CNAG_03921,CNAG_03961,CNAG_04050,CNAG_04072,CNAG_04114,CNAG_04222,CNAG_04914,CNAG_05241,CNAG_05473,CNAG_05555,CNAG_05976,CNAG_06007,CNAG_06318,CNAG_06412,CNAG_06454,CNAG_06468,CNAG_06741,CNAG_07413,CNAG_07494,CNAG_07657,	39.8	4.27	6.95	4.40164238465e-17	1.62860768232e-15	1.62860768232e-15
GO:0006520	cellular amino acid metabolic process	149	34	CNAG_00007,CNAG_00256,CNAG_00590,CNAG_00622,CNAG_00743,CNAG_00930,CNAG_00992,CNAG_01400,CNAG_01577,CNAG_01594,CNAG_01877,CNAG_01890,CNAG_01894,CNAG_02418,CNAG_02818,CNAG_03812,CNAG_04082,CNAG_04179,CNAG_04192,CNAG_04467,CNAG_04776,CNAG_04896,CNAG_04951,CNAG_05398,CNAG_05425,CNAG_05623,CNAG_05725,CNAG_05899,CNAG_06123,CNAG_06421,CNAG_06755,CNAG_06849,CNAG_07373,CNAG_07502,	22.8	2.45	3.02	4.79463162373e-07	6.27014721839e-06	1.77401370078e-05
GO:0055086	nucleobase-containing small molecule metabolic process	123	30	CNAG_00700,CNAG_00797,CNAG_01390,CNAG_01820,CNAG_01877,CNAG_01915,CNAG_02285,CNAG_02546,CNAG_02762,CNAG_02794,CNAG_02858,CNAG_02961,CNAG_03072,CNAG_03298,CNAG_03335,CNAG_04192,CNAG_04577,CNAG_04640,CNAG_04676,CNAG_05059,CNAG_05125,CNAG_05226,CNAG_05759,CNAG_06001,CNAG_06314,CNAG_06489,CNAG_06770,CNAG_06900,CNAG_07373,CNAG_07502,	24.4	2.62	3.28	5.08390315005e-07	6.27014721839e-06	1.88104416552e-05
GO:0008150	biological process	3075	328	CNAG_00007,CNAG_00019,CNAG_00034,CNAG_00058,CNAG_00061,CNAG_00108,CNAG_00116,CNAG_00117,CNAG_00142,CNAG_00235,CNAG_00236,CNAG_00256,CNAG_00259,CNAG_00265,CNAG_00345,CNAG_00370,CNAG_00417,CNAG_00418,CNAG_00429,CNAG_00447,CNAG_00462,CNAG_00471,CNAG_00509,CNAG_00510,CNAG_00512,CNAG_00513,CNAG_00533,CNAG_00590,CNAG_00608,CNAG_00622,CNAG_00640,CNAG_00655,CNAG_00656,CNAG_00672,CNAG_00684,CNAG_00700,CNAG_00703,CNAG_00709,CNAG_00722,CNAG_00743,CNAG_00747,CNAG_00771,CNAG_00779,CNAG_00797,CNAG_00819,CNAG_00821,CNAG_00854,CNAG_00895,CNAG_00904,CNAG_00930,CNAG_00987,CNAG_00992,CNAG_01023,CNAG_01054,CNAG_01119,CNAG_01120,CNAG_01152,CNAG_01153,CNAG_01168,CNAG_01170,CNAG_01179,CNAG_01181,CNAG_01198,CNAG_01224,CNAG_01236,CNAG_01239,CNAG_01300,CNAG_01332,CNAG_01345,CNAG_01354,CNAG_01390,CNAG_01400,CNAG_01428,CNAG_01437,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01564,CNAG_01565,CNAG_01577,CNAG_01592,CNAG_01594,CNAG_01598,CNAG_01628,CNAG_01629,CNAG_01639,CNAG_01641,CNAG_01643,CNAG_01650,CNAG_01656,CNAG_01657,CNAG_01752,CNAG_01797,CNAG_01810,CNAG_01819,CNAG_01820,CNAG_01843,CNAG_01877,CNAG_01881,CNAG_01884,CNAG_01890,CNAG_01894,CNAG_01915,CNAG_01943,CNAG_01946,CNAG_01951,CNAG_01976,CNAG_01990,CNAG_02037,CNAG_02100,CNAG_02128,CNAG_02144,CNAG_02202,CNAG_02209,CNAG_02234,CNAG_02285,CNAG_02301,CNAG_02316,CNAG_02317,CNAG_02330,CNAG_02331,CNAG_02336,CNAG_02354,CNAG_02418,CNAG_02437,CNAG_02460,CNAG_02507,CNAG_02529,CNAG_02546,CNAG_02657,CNAG_02709,CNAG_02714,CNAG_02754,CNAG_02762,CNAG_02794,CNAG_02810,CNAG_02811,CNAG_02818,CNAG_02838,CNAG_02858,CNAG_02864,CNAG_02890,CNAG_02923,CNAG_02928,CNAG_02961,CNAG_02982,CNAG_03000,CNAG_03001,CNAG_03009,CNAG_03015,CNAG_03053,CNAG_03072,CNAG_03098,CNAG_03127,CNAG_03198,CNAG_03216,CNAG_03221,CNAG_03263,CNAG_03274,CNAG_03298,CNAG_03302,CNAG_03303,CNAG_03310,CNAG_03335,CNAG_03353,CNAG_03435,CNAG_03468,CNAG_03476,CNAG_03483,CNAG_03510,CNAG_03577,CNAG_03603,CNAG_03634,CNAG_03664,CNAG_03693,CNAG_03724,CNAG_03747,CNAG_03780,CNAG_03789,CNAG_03812,CNAG_03820,CNAG_03861,CNAG_03863,CNAG_03878,CNAG_03891,CNAG_03892,CNAG_03897,CNAG_03902,CNAG_03921,CNAG_03931,CNAG_03940,CNAG_03944,CNAG_03961,CNAG_03986,CNAG_04004,CNAG_04011,CNAG_04021,CNAG_04050,CNAG_04068,CNAG_04072,CNAG_04082,CNAG_04114,CNAG_04168,CNAG_04179,CNAG_04180,CNAG_04192,CNAG_04222,CNAG_04230,CNAG_04235,CNAG_04245,CNAG_04292,CNAG_04304,CNAG_04360,CNAG_04372,CNAG_04400,CNAG_04441,CNAG_04445,CNAG_04448,CNAG_04452,CNAG_04467,CNAG_04475,CNAG_04577,CNAG_04612,CNAG_04632,CNAG_04640,CNAG_04676,CNAG_04709,CNAG_04726,CNAG_04758,CNAG_04762,CNAG_04776,CNAG_04799,CNAG_04830,CNAG_04876,CNAG_04883,CNAG_04884,CNAG_04896,CNAG_04914,CNAG_04951,CNAG_04994,CNAG_05050,CNAG_05059,CNAG_05091,CNAG_05110,CNAG_05125,CNAG_05154,CNAG_05170,CNAG_05199,CNAG_05226,CNAG_05232,CNAG_05241,CNAG_05340,CNAG_05398,CNAG_05425,CNAG_05455,CNAG_05465,CNAG_05473,CNAG_05525,CNAG_05555,CNAG_05556,CNAG_05623,CNAG_05643,CNAG_05725,CNAG_05759,CNAG_05762,CNAG_05764,CNAG_05800,CNAG_05890,CNAG_05896,CNAG_05899,CNAG_05904,CNAG_05927,CNAG_05932,CNAG_05968,CNAG_05976,CNAG_05980,CNAG_06001,CNAG_06007,CNAG_06095,CNAG_06112,CNAG_06123,CNAG_06150,CNAG_06222,CNAG_06226,CNAG_06231,CNAG_06235,CNAG_06242,CNAG_06248,CNAG_06279,CNAG_06314,CNAG_06318,CNAG_06368,CNAG_06381,CNAG_06412,CNAG_06420,CNAG_06421,CNAG_06447,CNAG_06454,CNAG_06468,CNAG_06489,CNAG_06605,CNAG_06633,CNAG_06641,CNAG_06663,CNAG_06734,CNAG_06741,CNAG_06755,CNAG_06770,CNAG_06774,CNAG_06811,CNAG_06847,CNAG_06849,CNAG_06900,CNAG_06923,CNAG_06997,CNAG_07363,CNAG_07373,CNAG_07413,CNAG_07448,CNAG_07494,CNAG_07502,CNAG_07535,CNAG_07567,CNAG_07657,CNAG_07695,CNAG_07746,CNAG_07839,CNAG_07908,	10.7	1.15	1.52	2.15765354469e-05	0.000199582952884	0.000798331811536
GO:0140053	mitochondrial gene expression	12	6	CNAG_00512,CNAG_01639,CNAG_01797,CNAG_02316,CNAG_04235,CNAG_05091,	50.0	5.37	9.85	0.000358926645235	0.00247285086742	0.0132802858737
GO:1901135	carbohydrate derivative metabolic process	178	31	CNAG_00684,CNAG_00700,CNAG_00797,CNAG_01390,CNAG_01820,CNAG_01877,CNAG_01915,CNAG_02285,CNAG_02546,CNAG_02762,CNAG_02794,CNAG_02858,CNAG_02961,CNAG_03072,CNAG_03298,CNAG_03335,CNAG_04192,CNAG_04245,CNAG_04577,CNAG_04640,CNAG_04676,CNAG_05059,CNAG_05125,CNAG_05759,CNAG_06001,CNAG_06314,CNAG_06489,CNAG_06770,CNAG_06900,CNAG_07373,CNAG_07502,	17.4	1.87	2.13	0.000401002843366	0.00247285086742	0.0148371052045
GO:0006457	protein folding	39	11	CNAG_00058,CNAG_00447,CNAG_00510,CNAG_00987,CNAG_01881,CNAG_03891,CNAG_03892,CNAG_03944,CNAG_04304,CNAG_05199,CNAG_06150,	28.2	3.03	3.89	0.00061083879779	0.00322871935975	0.0226010355182
GO:0006091	generation of precursor metabolites and energy	69	15	CNAG_00061,CNAG_00462,CNAG_00684,CNAG_00747,CNAG_01657,CNAG_01820,CNAG_03072,CNAG_03861,CNAG_04676,CNAG_06226,CNAG_06663,CNAG_06770,CNAG_06900,CNAG_07363,CNAG_07908,	21.7	2.33	2.76	0.00137888179931	0.00637732832181	0.0510186265745
GO:0065003	protein-containing complex assembly	77	16	CNAG_00471,CNAG_00509,CNAG_00513,CNAG_01198,CNAG_01598,CNAG_02128,CNAG_02507,CNAG_02529,CNAG_02657,CNAG_03789,CNAG_04050,CNAG_04114,CNAG_04168,CNAG_04612,CNAG_04914,CNAG_05927,	20.8	2.23	2.61	0.00160384516964	0.00659358569742	0.0593422712768
GO:0006790	sulfur compound metabolic process	58	11	CNAG_00418,CNAG_00797,CNAG_01890,CNAG_02202,CNAG_04230,CNAG_04640,CNAG_04776,CNAG_05059,CNAG_05125,CNAG_05759,CNAG_06001,	19.0	2.04	2.31	0.0164594633393	0.0609000143553	0.609000143553
