ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005840	ribosome	142	110	CNAG_00034,CNAG_00116,CNAG_00232,CNAG_00370,CNAG_00512,CNAG_00608,CNAG_00640,CNAG_00655,CNAG_00656,CNAG_00672,CNAG_00703,CNAG_00722,CNAG_00771,CNAG_00779,CNAG_00819,CNAG_00821,CNAG_01136,CNAG_01152,CNAG_01153,CNAG_01170,CNAG_01181,CNAG_01224,CNAG_01300,CNAG_01332,CNAG_01345,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01628,CNAG_01650,CNAG_01797,CNAG_01819,CNAG_01884,CNAG_01951,CNAG_01976,CNAG_01990,CNAG_02037,CNAG_02144,CNAG_02145,CNAG_02234,CNAG_02316,CNAG_02330,CNAG_02331,CNAG_02354,CNAG_02359,CNAG_02709,CNAG_02754,CNAG_02811,CNAG_02838,CNAG_02842,CNAG_02923,CNAG_02928,CNAG_03000,CNAG_03015,CNAG_03053,CNAG_03127,CNAG_03198,CNAG_03221,CNAG_03283,CNAG_03303,CNAG_03353,CNAG_03510,CNAG_03577,CNAG_03693,CNAG_03747,CNAG_03780,CNAG_03986,CNAG_04004,CNAG_04011,CNAG_04021,CNAG_04068,CNAG_04114,CNAG_04180,CNAG_04235,CNAG_04292,CNAG_04400,CNAG_04445,CNAG_04448,CNAG_04452,CNAG_04683,CNAG_04709,CNAG_04726,CNAG_04762,CNAG_04799,CNAG_04830,CNAG_04883,CNAG_04884,CNAG_05110,CNAG_05232,CNAG_05525,CNAG_05555,CNAG_05556,CNAG_05751,CNAG_05762,CNAG_05764,CNAG_05800,CNAG_05814,CNAG_05904,CNAG_05917,CNAG_05980,CNAG_06095,CNAG_06222,CNAG_06231,CNAG_06447,CNAG_06605,CNAG_06633,CNAG_06811,CNAG_06847,CNAG_07535,CNAG_07839,	77.5	8.32	43.22	8.67147929682e-89	1.38743668749e-87	1.38743668749e-87
GO:0043226	organelle	1482	236	CNAG_00019,CNAG_00034,CNAG_00061,CNAG_00063,CNAG_00108,CNAG_00116,CNAG_00142,CNAG_00232,CNAG_00259,CNAG_00329,CNAG_00334,CNAG_00370,CNAG_00471,CNAG_00512,CNAG_00513,CNAG_00520,CNAG_00533,CNAG_00608,CNAG_00640,CNAG_00655,CNAG_00656,CNAG_00672,CNAG_00703,CNAG_00709,CNAG_00722,CNAG_00747,CNAG_00771,CNAG_00779,CNAG_00785,CNAG_00819,CNAG_00821,CNAG_00854,CNAG_00930,CNAG_00992,CNAG_01023,CNAG_01054,CNAG_01120,CNAG_01136,CNAG_01152,CNAG_01153,CNAG_01170,CNAG_01181,CNAG_01198,CNAG_01224,CNAG_01236,CNAG_01300,CNAG_01332,CNAG_01345,CNAG_01432,CNAG_01437,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01564,CNAG_01577,CNAG_01592,CNAG_01594,CNAG_01598,CNAG_01628,CNAG_01639,CNAG_01641,CNAG_01643,CNAG_01650,CNAG_01727,CNAG_01752,CNAG_01797,CNAG_01810,CNAG_01819,CNAG_01843,CNAG_01884,CNAG_01890,CNAG_01951,CNAG_01976,CNAG_01990,CNAG_01991,CNAG_02037,CNAG_02100,CNAG_02144,CNAG_02145,CNAG_02198,CNAG_02209,CNAG_02234,CNAG_02301,CNAG_02316,CNAG_02330,CNAG_02331,CNAG_02354,CNAG_02359,CNAG_02378,CNAG_02437,CNAG_02529,CNAG_02709,CNAG_02754,CNAG_02762,CNAG_02794,CNAG_02810,CNAG_02811,CNAG_02818,CNAG_02838,CNAG_02842,CNAG_02905,CNAG_02923,CNAG_02928,CNAG_02952,CNAG_02982,CNAG_03000,CNAG_03001,CNAG_03009,CNAG_03015,CNAG_03053,CNAG_03064,CNAG_03072,CNAG_03098,CNAG_03127,CNAG_03198,CNAG_03221,CNAG_03274,CNAG_03283,CNAG_03298,CNAG_03301,CNAG_03303,CNAG_03353,CNAG_03435,CNAG_03483,CNAG_03510,CNAG_03577,CNAG_03603,CNAG_03634,CNAG_03693,CNAG_03724,CNAG_03747,CNAG_03780,CNAG_03789,CNAG_03817,CNAG_03820,CNAG_03861,CNAG_03878,CNAG_03891,CNAG_03897,CNAG_03921,CNAG_03931,CNAG_03940,CNAG_03986,CNAG_04004,CNAG_04011,CNAG_04021,CNAG_04050,CNAG_04068,CNAG_04072,CNAG_04114,CNAG_04168,CNAG_04180,CNAG_04222,CNAG_04235,CNAG_04292,CNAG_04348,CNAG_04360,CNAG_04372,CNAG_04378,CNAG_04400,CNAG_04445,CNAG_04448,CNAG_04452,CNAG_04577,CNAG_04612,CNAG_04683,CNAG_04709,CNAG_04726,CNAG_04758,CNAG_04762,CNAG_04799,CNAG_04830,CNAG_04883,CNAG_04884,CNAG_04914,CNAG_04985,CNAG_05030,CNAG_05091,CNAG_05110,CNAG_05232,CNAG_05241,CNAG_05437,CNAG_05525,CNAG_05555,CNAG_05556,CNAG_05725,CNAG_05751,CNAG_05755,CNAG_05759,CNAG_05762,CNAG_05764,CNAG_05800,CNAG_05814,CNAG_05839,CNAG_05844,CNAG_05896,CNAG_05904,CNAG_05917,CNAG_05927,CNAG_05976,CNAG_05980,CNAG_06007,CNAG_06095,CNAG_06150,CNAG_06222,CNAG_06226,CNAG_06231,CNAG_06274,CNAG_06318,CNAG_06367,CNAG_06368,CNAG_06420,CNAG_06440,CNAG_06447,CNAG_06468,CNAG_06605,CNAG_06633,CNAG_06641,CNAG_06663,CNAG_06741,CNAG_06745,CNAG_06746,CNAG_06747,CNAG_06774,CNAG_06811,CNAG_06847,CNAG_06906,CNAG_07363,CNAG_07413,CNAG_07494,CNAG_07535,CNAG_07536,CNAG_07810,CNAG_07839,CNAG_07878,CNAG_07908,	15.9	1.71	2.67	1.96644335845e-23	1.57315468676e-22	3.14630937352e-22
GO:0005622	intracellular anatomical structure	1664	250	CNAG_00019,CNAG_00034,CNAG_00063,CNAG_00108,CNAG_00116,CNAG_00142,CNAG_00232,CNAG_00259,CNAG_00329,CNAG_00370,CNAG_00447,CNAG_00471,CNAG_00509,CNAG_00512,CNAG_00513,CNAG_00520,CNAG_00533,CNAG_00608,CNAG_00640,CNAG_00655,CNAG_00656,CNAG_00672,CNAG_00703,CNAG_00709,CNAG_00722,CNAG_00747,CNAG_00750,CNAG_00771,CNAG_00779,CNAG_00819,CNAG_00821,CNAG_00854,CNAG_01023,CNAG_01054,CNAG_01120,CNAG_01136,CNAG_01152,CNAG_01153,CNAG_01170,CNAG_01181,CNAG_01198,CNAG_01224,CNAG_01236,CNAG_01300,CNAG_01332,CNAG_01345,CNAG_01390,CNAG_01432,CNAG_01437,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01564,CNAG_01592,CNAG_01594,CNAG_01598,CNAG_01628,CNAG_01639,CNAG_01641,CNAG_01643,CNAG_01650,CNAG_01657,CNAG_01752,CNAG_01797,CNAG_01810,CNAG_01819,CNAG_01843,CNAG_01884,CNAG_01894,CNAG_01951,CNAG_01976,CNAG_01990,CNAG_01991,CNAG_02037,CNAG_02128,CNAG_02144,CNAG_02145,CNAG_02198,CNAG_02209,CNAG_02234,CNAG_02301,CNAG_02316,CNAG_02330,CNAG_02331,CNAG_02354,CNAG_02359,CNAG_02378,CNAG_02437,CNAG_02507,CNAG_02529,CNAG_02657,CNAG_02709,CNAG_02714,CNAG_02754,CNAG_02762,CNAG_02794,CNAG_02810,CNAG_02811,CNAG_02818,CNAG_02838,CNAG_02842,CNAG_02858,CNAG_02880,CNAG_02905,CNAG_02923,CNAG_02928,CNAG_02952,CNAG_02961,CNAG_02982,CNAG_03000,CNAG_03001,CNAG_03009,CNAG_03015,CNAG_03053,CNAG_03064,CNAG_03072,CNAG_03098,CNAG_03127,CNAG_03198,CNAG_03221,CNAG_03274,CNAG_03283,CNAG_03298,CNAG_03301,CNAG_03303,CNAG_03310,CNAG_03353,CNAG_03435,CNAG_03483,CNAG_03510,CNAG_03577,CNAG_03603,CNAG_03634,CNAG_03693,CNAG_03724,CNAG_03747,CNAG_03780,CNAG_03789,CNAG_03817,CNAG_03820,CNAG_03861,CNAG_03878,CNAG_03897,CNAG_03921,CNAG_03931,CNAG_03940,CNAG_03986,CNAG_04004,CNAG_04011,CNAG_04021,CNAG_04050,CNAG_04068,CNAG_04072,CNAG_04082,CNAG_04114,CNAG_04168,CNAG_04179,CNAG_04180,CNAG_04222,CNAG_04235,CNAG_04292,CNAG_04304,CNAG_04348,CNAG_04360,CNAG_04372,CNAG_04378,CNAG_04400,CNAG_04441,CNAG_04445,CNAG_04448,CNAG_04452,CNAG_04612,CNAG_04640,CNAG_04676,CNAG_04683,CNAG_04709,CNAG_04726,CNAG_04762,CNAG_04799,CNAG_04830,CNAG_04883,CNAG_04884,CNAG_04914,CNAG_04976,CNAG_04985,CNAG_04994,CNAG_05030,CNAG_05091,CNAG_05110,CNAG_05125,CNAG_05232,CNAG_05241,CNAG_05437,CNAG_05525,CNAG_05555,CNAG_05556,CNAG_05725,CNAG_05751,CNAG_05755,CNAG_05762,CNAG_05764,CNAG_05800,CNAG_05814,CNAG_05839,CNAG_05844,CNAG_05896,CNAG_05904,CNAG_05917,CNAG_05927,CNAG_05976,CNAG_05980,CNAG_06007,CNAG_06095,CNAG_06222,CNAG_06226,CNAG_06231,CNAG_06238,CNAG_06248,CNAG_06274,CNAG_06318,CNAG_06367,CNAG_06368,CNAG_06420,CNAG_06440,CNAG_06447,CNAG_06454,CNAG_06468,CNAG_06605,CNAG_06633,CNAG_06641,CNAG_06663,CNAG_06741,CNAG_06745,CNAG_06746,CNAG_06747,CNAG_06755,CNAG_06774,CNAG_06811,CNAG_06847,CNAG_06900,CNAG_06906,CNAG_07363,CNAG_07413,CNAG_07494,CNAG_07535,CNAG_07536,CNAG_07810,CNAG_07839,CNAG_07878,CNAG_07908,	15.0	1.61	2.52	2.52392972538e-21	1.34609585353e-20	4.0382875606e-20
GO:0005730	nucleolus	76	32	CNAG_00142,CNAG_00513,CNAG_01236,CNAG_01432,CNAG_01437,CNAG_01564,CNAG_01641,CNAG_01810,CNAG_02209,CNAG_02378,CNAG_02437,CNAG_02982,CNAG_03435,CNAG_03603,CNAG_03634,CNAG_03724,CNAG_03789,CNAG_03820,CNAG_03878,CNAG_03921,CNAG_04072,CNAG_04222,CNAG_04348,CNAG_05755,CNAG_05976,CNAG_06007,CNAG_06318,CNAG_06468,CNAG_06741,CNAG_07413,CNAG_07494,CNAG_07536,	42.1	4.52	7.52	2.12434858586e-14	8.49739434345e-14	3.39895773738e-13
GO:0005576	extracellular region	111	35	CNAG_00034,CNAG_00061,CNAG_00232,CNAG_00334,CNAG_00370,CNAG_00656,CNAG_00771,CNAG_00779,CNAG_00785,CNAG_00930,CNAG_00992,CNAG_01239,CNAG_01480,CNAG_01577,CNAG_01727,CNAG_01890,CNAG_02100,CNAG_02144,CNAG_02818,CNAG_03072,CNAG_03283,CNAG_03891,CNAG_04011,CNAG_04114,CNAG_04577,CNAG_04758,CNAG_04762,CNAG_05725,CNAG_05759,CNAG_05762,CNAG_06095,CNAG_06150,CNAG_06447,CNAG_06605,CNAG_06633,	31.5	3.39	4.76	2.79513934149e-11	8.94444589278e-11	4.47222294639e-10
GO:0005739	mitochondrion	258	49	CNAG_00019,CNAG_00329,CNAG_00471,CNAG_00512,CNAG_00533,CNAG_00709,CNAG_00747,CNAG_01120,CNAG_01136,CNAG_01594,CNAG_01639,CNAG_01752,CNAG_01797,CNAG_01843,CNAG_01991,CNAG_02198,CNAG_02316,CNAG_02529,CNAG_02762,CNAG_02794,CNAG_02818,CNAG_02842,CNAG_02905,CNAG_02952,CNAG_03098,CNAG_03274,CNAG_03298,CNAG_03301,CNAG_03861,CNAG_03931,CNAG_04235,CNAG_04292,CNAG_04360,CNAG_04378,CNAG_04612,CNAG_04683,CNAG_05091,CNAG_05725,CNAG_05839,CNAG_05844,CNAG_05917,CNAG_05927,CNAG_06226,CNAG_06274,CNAG_06420,CNAG_06663,CNAG_07363,CNAG_07810,CNAG_07908,	19.0	2.04	2.43	6.15530987839e-07	1.64141596757e-06	9.84849580543e-06
GO:0005575	cellular component	2996	313	CNAG_00019,CNAG_00034,CNAG_00061,CNAG_00063,CNAG_00108,CNAG_00116,CNAG_00117,CNAG_00142,CNAG_00149,CNAG_00232,CNAG_00235,CNAG_00259,CNAG_00305,CNAG_00329,CNAG_00334,CNAG_00370,CNAG_00447,CNAG_00471,CNAG_00509,CNAG_00510,CNAG_00512,CNAG_00513,CNAG_00520,CNAG_00533,CNAG_00608,CNAG_00640,CNAG_00655,CNAG_00656,CNAG_00672,CNAG_00703,CNAG_00707,CNAG_00709,CNAG_00715,CNAG_00722,CNAG_00747,CNAG_00750,CNAG_00771,CNAG_00779,CNAG_00785,CNAG_00788,CNAG_00819,CNAG_00821,CNAG_00854,CNAG_00895,CNAG_00904,CNAG_00930,CNAG_00987,CNAG_00992,CNAG_01023,CNAG_01054,CNAG_01119,CNAG_01120,CNAG_01136,CNAG_01152,CNAG_01153,CNAG_01168,CNAG_01170,CNAG_01181,CNAG_01198,CNAG_01224,CNAG_01236,CNAG_01239,CNAG_01300,CNAG_01332,CNAG_01345,CNAG_01354,CNAG_01390,CNAG_01432,CNAG_01437,CNAG_01455,CNAG_01480,CNAG_01486,CNAG_01564,CNAG_01577,CNAG_01592,CNAG_01594,CNAG_01598,CNAG_01621,CNAG_01628,CNAG_01639,CNAG_01641,CNAG_01643,CNAG_01650,CNAG_01657,CNAG_01727,CNAG_01752,CNAG_01761,CNAG_01797,CNAG_01810,CNAG_01819,CNAG_01843,CNAG_01884,CNAG_01890,CNAG_01894,CNAG_01946,CNAG_01951,CNAG_01976,CNAG_01990,CNAG_01991,CNAG_02037,CNAG_02086,CNAG_02100,CNAG_02128,CNAG_02144,CNAG_02145,CNAG_02198,CNAG_02209,CNAG_02234,CNAG_02300,CNAG_02301,CNAG_02316,CNAG_02330,CNAG_02331,CNAG_02336,CNAG_02354,CNAG_02359,CNAG_02378,CNAG_02437,CNAG_02507,CNAG_02529,CNAG_02657,CNAG_02709,CNAG_02714,CNAG_02754,CNAG_02762,CNAG_02794,CNAG_02810,CNAG_02811,CNAG_02818,CNAG_02838,CNAG_02842,CNAG_02858,CNAG_02880,CNAG_02905,CNAG_02917,CNAG_02923,CNAG_02928,CNAG_02952,CNAG_02961,CNAG_02982,CNAG_03000,CNAG_03001,CNAG_03009,CNAG_03015,CNAG_03053,CNAG_03064,CNAG_03072,CNAG_03098,CNAG_03127,CNAG_03147,CNAG_03198,CNAG_03221,CNAG_03274,CNAG_03283,CNAG_03298,CNAG_03301,CNAG_03303,CNAG_03310,CNAG_03353,CNAG_03435,CNAG_03468,CNAG_03483,CNAG_03510,CNAG_03577,CNAG_03603,CNAG_03634,CNAG_03647,CNAG_03664,CNAG_03693,CNAG_03724,CNAG_03747,CNAG_03780,CNAG_03789,CNAG_03817,CNAG_03820,CNAG_03861,CNAG_03878,CNAG_03891,CNAG_03897,CNAG_03902,CNAG_03921,CNAG_03931,CNAG_03940,CNAG_03986,CNAG_04004,CNAG_04011,CNAG_04021,CNAG_04050,CNAG_04068,CNAG_04072,CNAG_04082,CNAG_04114,CNAG_04168,CNAG_04179,CNAG_04180,CNAG_04222,CNAG_04235,CNAG_04283,CNAG_04292,CNAG_04304,CNAG_04348,CNAG_04360,CNAG_04372,CNAG_04378,CNAG_04400,CNAG_04441,CNAG_04445,CNAG_04448,CNAG_04452,CNAG_04577,CNAG_04612,CNAG_04632,CNAG_04640,CNAG_04676,CNAG_04683,CNAG_04709,CNAG_04726,CNAG_04758,CNAG_04762,CNAG_04799,CNAG_04830,CNAG_04883,CNAG_04884,CNAG_04914,CNAG_04976,CNAG_04985,CNAG_04994,CNAG_05030,CNAG_05060,CNAG_05091,CNAG_05110,CNAG_05125,CNAG_05154,CNAG_05170,CNAG_05228,CNAG_05232,CNAG_05241,CNAG_05340,CNAG_05400,CNAG_05437,CNAG_05525,CNAG_05555,CNAG_05556,CNAG_05578,CNAG_05643,CNAG_05725,CNAG_05751,CNAG_05755,CNAG_05759,CNAG_05762,CNAG_05764,CNAG_05800,CNAG_05814,CNAG_05839,CNAG_05844,CNAG_05896,CNAG_05904,CNAG_05917,CNAG_05927,CNAG_05976,CNAG_05980,CNAG_06007,CNAG_06012,CNAG_06095,CNAG_06096,CNAG_06150,CNAG_06222,CNAG_06226,CNAG_06231,CNAG_06238,CNAG_06242,CNAG_06248,CNAG_06274,CNAG_06318,CNAG_06367,CNAG_06368,CNAG_06381,CNAG_06420,CNAG_06440,CNAG_06447,CNAG_06454,CNAG_06468,CNAG_06605,CNAG_06633,CNAG_06641,CNAG_06663,CNAG_06741,CNAG_06745,CNAG_06746,CNAG_06747,CNAG_06755,CNAG_06774,CNAG_06811,CNAG_06847,CNAG_06900,CNAG_06906,CNAG_07310,CNAG_07363,CNAG_07413,CNAG_07448,CNAG_07494,CNAG_07535,CNAG_07536,CNAG_07630,CNAG_07657,CNAG_07664,CNAG_07695,CNAG_07804,CNAG_07810,CNAG_07839,CNAG_07878,CNAG_07908,CNAG_07990,	10.4	1.12	1.4	0.000494461165125	0.00113019694886	0.007911378642
GO:0032991	protein-containing complex	591	75	CNAG_00019,CNAG_00063,CNAG_00108,CNAG_00116,CNAG_00447,CNAG_00471,CNAG_00509,CNAG_00510,CNAG_00512,CNAG_00533,CNAG_00656,CNAG_00987,CNAG_01023,CNAG_01120,CNAG_01136,CNAG_01198,CNAG_01345,CNAG_01628,CNAG_01657,CNAG_01797,CNAG_01819,CNAG_01990,CNAG_02037,CNAG_02128,CNAG_02144,CNAG_02301,CNAG_02316,CNAG_02331,CNAG_02507,CNAG_02657,CNAG_02714,CNAG_02762,CNAG_02923,CNAG_02961,CNAG_02982,CNAG_03072,CNAG_03098,CNAG_03127,CNAG_03298,CNAG_03435,CNAG_03483,CNAG_03747,CNAG_03820,CNAG_03931,CNAG_03940,CNAG_03986,CNAG_04004,CNAG_04021,CNAG_04050,CNAG_04114,CNAG_04168,CNAG_04180,CNAG_04372,CNAG_04448,CNAG_04914,CNAG_04985,CNAG_04994,CNAG_05030,CNAG_05241,CNAG_05555,CNAG_05764,CNAG_05896,CNAG_05917,CNAG_06007,CNAG_06231,CNAG_06242,CNAG_06318,CNAG_06447,CNAG_06605,CNAG_06633,CNAG_06641,CNAG_06745,CNAG_06746,CNAG_06747,CNAG_07494,	12.7	1.36	1.49	0.00236441458675	0.0047288291735	0.037830633388
GO:0005829	cytosol	28	8	CNAG_00447,CNAG_00656,CNAG_03072,CNAG_04004,CNAG_04114,CNAG_04448,CNAG_05125,CNAG_05555,	28.6	3.07	3.94	0.00310129336567	0.00551341042786	0.0496206938508
GO:0005737	cytoplasm	822	97	CNAG_00019,CNAG_00259,CNAG_00329,CNAG_00370,CNAG_00447,CNAG_00471,CNAG_00509,CNAG_00512,CNAG_00520,CNAG_00533,CNAG_00656,CNAG_00709,CNAG_00747,CNAG_00750,CNAG_00854,CNAG_01120,CNAG_01136,CNAG_01300,CNAG_01390,CNAG_01592,CNAG_01594,CNAG_01639,CNAG_01643,CNAG_01657,CNAG_01752,CNAG_01797,CNAG_01843,CNAG_01894,CNAG_01991,CNAG_02128,CNAG_02198,CNAG_02316,CNAG_02507,CNAG_02529,CNAG_02657,CNAG_02714,CNAG_02762,CNAG_02794,CNAG_02810,CNAG_02818,CNAG_02842,CNAG_02858,CNAG_02880,CNAG_02905,CNAG_02952,CNAG_03009,CNAG_03072,CNAG_03098,CNAG_03274,CNAG_03298,CNAG_03301,CNAG_03310,CNAG_03483,CNAG_03789,CNAG_03861,CNAG_03931,CNAG_03940,CNAG_04004,CNAG_04082,CNAG_04114,CNAG_04179,CNAG_04235,CNAG_04292,CNAG_04304,CNAG_04360,CNAG_04378,CNAG_04441,CNAG_04448,CNAG_04612,CNAG_04640,CNAG_04676,CNAG_04683,CNAG_04976,CNAG_04985,CNAG_04994,CNAG_05091,CNAG_05125,CNAG_05437,CNAG_05555,CNAG_05725,CNAG_05839,CNAG_05844,CNAG_05917,CNAG_05927,CNAG_06226,CNAG_06238,CNAG_06248,CNAG_06274,CNAG_06420,CNAG_06454,CNAG_06663,CNAG_06755,CNAG_06900,CNAG_06906,CNAG_07363,CNAG_07810,CNAG_07908,	11.8	1.27	1.38	0.00540434085204	0.00864694536326	0.0864694536326
