ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0005694	chromosome	91	10	CNAG_00063,CNAG_01023,CNAG_01648,CNAG_04157,CNAG_04168,CNAG_05863,CNAG_06745,CNAG_06746,CNAG_06747,CNAG_07807,	11.0	4.76	5.61	3.9116166356e-05	0.000625858661697	0.000625858661697
GO:0005622	intracellular anatomical structure	1664	56	CNAG_00063,CNAG_00709,CNAG_00716,CNAG_00750,CNAG_00771,CNAG_01023,CNAG_01153,CNAG_01300,CNAG_01345,CNAG_01389,CNAG_01592,CNAG_01598,CNAG_01648,CNAG_01657,CNAG_01810,CNAG_01894,CNAG_02099,CNAG_02145,CNAG_02838,CNAG_02842,CNAG_02870,CNAG_02952,CNAG_02982,CNAG_03064,CNAG_03322,CNAG_03342,CNAG_03426,CNAG_03521,CNAG_03629,CNAG_03634,CNAG_04072,CNAG_04114,CNAG_04157,CNAG_04168,CNAG_04179,CNAG_04189,CNAG_04215,CNAG_04235,CNAG_04612,CNAG_04640,CNAG_05086,CNAG_05357,CNAG_05825,CNAG_05863,CNAG_05875,CNAG_06226,CNAG_06318,CNAG_06641,CNAG_06663,CNAG_06745,CNAG_06746,CNAG_06747,CNAG_06774,CNAG_07807,CNAG_07908,CNAG_07909,	3.4	1.46	1.9	0.000469766347198	0.00324669846319	0.00751626155517
GO:0043226	organelle	1482	51	CNAG_00063,CNAG_00709,CNAG_00716,CNAG_00771,CNAG_01023,CNAG_01153,CNAG_01300,CNAG_01345,CNAG_01577,CNAG_01592,CNAG_01598,CNAG_01648,CNAG_01810,CNAG_01890,CNAG_02100,CNAG_02145,CNAG_02838,CNAG_02842,CNAG_02870,CNAG_02952,CNAG_02982,CNAG_03064,CNAG_03322,CNAG_03342,CNAG_03426,CNAG_03521,CNAG_03629,CNAG_03634,CNAG_04072,CNAG_04114,CNAG_04157,CNAG_04168,CNAG_04189,CNAG_04235,CNAG_04612,CNAG_05357,CNAG_05759,CNAG_05825,CNAG_05863,CNAG_05875,CNAG_06226,CNAG_06318,CNAG_06641,CNAG_06663,CNAG_06745,CNAG_06746,CNAG_06747,CNAG_06774,CNAG_07807,CNAG_07908,CNAG_07909,	3.4	1.49	1.89	0.000608755961848	0.00324669846319	0.00974009538957
GO:0005576	extracellular region	111	9	CNAG_00771,CNAG_01577,CNAG_01648,CNAG_01890,CNAG_02060,CNAG_02100,CNAG_03322,CNAG_04114,CNAG_05759,	8.1	3.51	3.96	0.000963366399366	0.00385346559746	0.0154138623899
GO:0005739	mitochondrion	258	14	CNAG_00709,CNAG_00716,CNAG_02842,CNAG_02870,CNAG_02952,CNAG_03629,CNAG_04189,CNAG_04235,CNAG_04612,CNAG_05357,CNAG_05875,CNAG_06226,CNAG_06663,CNAG_07908,	5.4	2.35	2.62	0.00227740104705	0.00728768335056	0.0364384167528
GO:0005840	ribosome	142	9	CNAG_00771,CNAG_01153,CNAG_01300,CNAG_01345,CNAG_02145,CNAG_02838,CNAG_02842,CNAG_04114,CNAG_04235,	6.3	2.74	3.02	0.00524093144741	0.0139758171931	0.0838549031585
GO:0005730	nucleolus	76	6	CNAG_01810,CNAG_02982,CNAG_03521,CNAG_03634,CNAG_04072,CNAG_06318,	7.9	3.42	3.77	0.00783133428726	0.0179001926566	0.125301348596
GO:0005575	cellular component	2996	82	CNAG_00040,CNAG_00053,CNAG_00063,CNAG_00235,CNAG_00697,CNAG_00709,CNAG_00716,CNAG_00750,CNAG_00771,CNAG_00788,CNAG_00876,CNAG_00904,CNAG_01023,CNAG_01119,CNAG_01153,CNAG_01300,CNAG_01345,CNAG_01389,CNAG_01577,CNAG_01592,CNAG_01598,CNAG_01648,CNAG_01657,CNAG_01810,CNAG_01890,CNAG_01894,CNAG_01946,CNAG_02036,CNAG_02060,CNAG_02099,CNAG_02100,CNAG_02145,CNAG_02693,CNAG_02838,CNAG_02842,CNAG_02870,CNAG_02952,CNAG_02982,CNAG_03064,CNAG_03322,CNAG_03342,CNAG_03426,CNAG_03521,CNAG_03629,CNAG_03634,CNAG_03671,CNAG_04072,CNAG_04114,CNAG_04157,CNAG_04168,CNAG_04179,CNAG_04189,CNAG_04215,CNAG_04235,CNAG_04283,CNAG_04612,CNAG_04640,CNAG_05070,CNAG_05086,CNAG_05357,CNAG_05759,CNAG_05825,CNAG_05863,CNAG_05875,CNAG_06012,CNAG_06063,CNAG_06096,CNAG_06226,CNAG_06318,CNAG_06381,CNAG_06487,CNAG_06641,CNAG_06663,CNAG_06745,CNAG_06746,CNAG_06747,CNAG_06774,CNAG_07448,CNAG_07807,CNAG_07908,CNAG_07909,CNAG_07990,	2.7	1.19	1.62	0.00911944263798	0.018238885276	0.145911082208
GO:0005737	cytoplasm	822	28	CNAG_00709,CNAG_00716,CNAG_00750,CNAG_01300,CNAG_01389,CNAG_01592,CNAG_01657,CNAG_01894,CNAG_02099,CNAG_02842,CNAG_02870,CNAG_02952,CNAG_03322,CNAG_03426,CNAG_03629,CNAG_04114,CNAG_04179,CNAG_04189,CNAG_04215,CNAG_04235,CNAG_04612,CNAG_04640,CNAG_05086,CNAG_05357,CNAG_05875,CNAG_06226,CNAG_06663,CNAG_07908,	3.4	1.48	1.64	0.0188619781109	0.0335324055305	0.301791649774
GO:0005829	cytosol	28	3	CNAG_02099,CNAG_04114,CNAG_05086,	10.7	4.64	5.18	0.0258365362259	0.0413384579614	0.413384579614
