gene,geneName,geneNameLong,geneGroup,geneGroupSpecific
CNAG_03099,CHS1,Chitin synthase 1,cell_wall,chitin_synthase
CNAG_03326,CHS2,Chitin synthase 2,cell_wall,chitin_synthase
CNAG_05581,CHS3,Chitin synthase 3,cell_wall,chitin_synthase
CNAG_00546,CHS4,Chitin synthase 4,cell_wall,chitin_synthase
CNAG_05818,CHS5,Chitin synthase 5,cell_wall,chitin_synthase
CNAG_06487,CHS6,Chitin synthase 6,cell_wall,chitin_synthase
CNAG_02217,CHS7,Chitin synthase 7,cell_wall,chitin_synthase
CNAG_07499,CHS8,Chitin synthase 8,cell_wall,chitin_synthase
CNAG_05799,CDA1,Chitin deacetylase 1,cell_wall,chitin_deacetylase
CNAG_01230,MP98,Chitin deacetylase 2,cell_wall,chitin_deacetylase
CNAG_01239,CDA3,Chitin deacetylase 3,cell_wall,chitin_deacetylase
CNAG_06291,FPD1,Polysaccharide deacetylase,cell_wall,chitin_deacetylase
CNAG_03412,CHI2,Chitinase ,cell_wall,chitinase
CNAG_02598,CHI21,Chitinase ,cell_wall,chitinase
CNAG_04245,CHI22,Chitinase ,cell_wall,chitinase
CNAG_02351,CHI4,Endochitinase,cell_wall,chitinase
CNAG_06678,CSR1,Putative chitin sythase regulator,cell_wall,chitin_associated
CNAG_06727,CSR3,Chitin synthase regulator 3,cell_wall,chitin_associated
CNAG_06898,,Chitin synthase export chaperone,cell_wall,chitin_associated
CNAG_06508,FKS1,"1,3-beta-glucan synthase component",cell_wall,beta_1_3_glucan
CNAG_00373,,"Glucan 1,3-beta-glucosidase",cell_wall,beta_1_3_glucan
CNAG_05138,,"Glucan 1,3-beta-glucosidase",cell_wall,beta_1_3_glucan
CNAG_02225,EXG104,"Glucan 1,3-beta-glucosidase",cell_wall,beta_1_3_glucan
CNAG_06336,,"Glucan 1,3-beta-glucosidase",cell_wall,beta_1_3_glucan
CNAG_05803,,"Exo-beta-1,3-glucanase",cell_wall,beta_1_3_glucan
CNAG_02860,EBG1,"Endo-1,3(4)-beta-glucanase",cell_wall,beta_1_3_glucan
CNAG_06501,,"1,3-beta-glucanosyltransferase",cell_wall,beta_1_3_glucan
CNAG_03120,AGS1,"Alpha-1,3-glucan synthase",cell_wall,alpha_1_3_glucan
CNAG_02850,,"Glucan endo-1,3-alpha-glucosidase",cell_wall,alpha_1_3_glucan
CNAG_07736,,"Glucan endo-1,3-alpha-glucosidase",cell_wall,alpha_1_3_glucan
CNAG_03648,KRE5,Glucosyltransferase,cell_wall,beta_1_6_glucan
CNAG_00914,KRE6,Glucosidase,cell_wall,beta_1_6_glucan
CNAG_00897,SKN1,Putative glucosidase,cell_wall,beta_1_6_glucan
CNAG_06835,KRE61,Glucosidase,cell_wall,beta_1_6_glucan
CNAG_06832,KRE62,Glucosidase,cell_wall,beta_1_6_glucan
CNAG_06031,KRE63,Beta-glucan synthesis-associated protein,cell_wall,beta_1_6_glucan
CNAG_05815,KRE64,Glucosidase,cell_wall,beta_1_6_glucan
CNAG_00097,ITR1,myo-inositol transporter,transporter,inositol_transporter
CNAG_04552,ITR1A,myo-inositol transporter,transporter,inositol_transporter
CNAG_00864,ITR2,myo-inositol transporter,transporter,inositol_transporter
CNAG_05377,ITR3,myo-inositol transporter,transporter,inositol_transporter
CNAG_00867,ITR3A,myo-inositol transporter,transporter,inositol_transporter
CNAG_05667,ITR3B,myo-inositol transporter,transporter,inositol_transporter
CNAG_05381,ITR3C,myo-inositol transporter,transporter,inositol_transporter
CNAG_05662,PTP1,Polyol transporter protein 1,transporter,inositol_transporter
CNAG_04024,ITR5,myo-inositol transporter,transporter,inositol_transporter
CNAG_03910,ITR6,myo-inositol transporter,transporter,inositol_transporter
CNAG_04837,MLN1,bHLH family transcription factor,transcription_factor,HLH family
CNAG_00559,BZP3,"bZip transcription factor, putative",transcription_factor,BZP family
CNAG_03346,BZP4,"bZip transcription factor, putative",transcription_factor,BZP family
CNAG_04457,FZC30,hypothetical protein,transcription_factor,FZC family
CNAG_02877,FZC51,hypothetical protein,transcription_factor,FZC family
CNAG_00871,CLR3,hypothetical protein,transcription_factor,BZP family
CNAG_05431,RIM101,pH-response transcription factor pacC/RIM101,transcription_factor,C2Z family
CNAG_00791,HLH1,hypothetical protein,transcription_factor,HLH family
CNAG_00896,FZC34,transcription factor,transcription_factor,FZC family
CNAG_03059,,hypothetical protein,transcription_factor,FZC family
CNAG_04093,YRM103,putative transcription factor,transcription_factor,FZC family
CNAG_04345,ARO8001,specific RNA polymerase II transcription factor,transcription_factor,FZC family
CNAG_04594,FZC27,hypothetical protein,transcription_factor,FZC family
CNAG_05392,ZAP104,specific RNA polymerase II transcription factor,transcription_factor,C2Z family
CNAG_05785,STB4,putative transcription factor,transcription_factor,FZC family
CNAG_07701,CTR1,Copper ion transporter,copper_transport,
CNAG_00979,CTR4,Copper uptake transporter,copper_transport,
CNAG_02775,BIM1,Cu-binding and release protein,copper_transport,
CNAG_04283,,Integral membrane protein (FLC1),FLC_proteins,
CNAG_00066,,Membrane protein,FLC_proteins,
CNAG_07538,,Calcium/proton exchanger,calcium_transport,
CNAG_03805,,Calcium/proton exchanger,calcium_transport,
CNAG_00025,VCX1,Vacuolar calcium exchanger,calcium_transport,
CNAG_01232,PMC1,Calcium-translocating P-type ATPase,calcium_transport,
CNAG_01704,IRK6,Mechanosensitive ion channel,calcium_transport,
CNAG_06060,,CSC1-like cation channel,calcium_transport,
CNAG_01208,CCH1,Calcium-channel protein,calcium_transport,
CNAG_03751,,Calcium-channel protein (MID1),calcium_transport,
