Gene ID,Input Order,Organism,Genomic Location (Gene),Product Description,Gene Type,Input ID,Interpro ID,Interpro Description,Protein Length,CDS Length,Transcript Product Description,Curated GO Processes,Curated GO Functions,Curated GO Components,Computed GO Processes,Computed GO Functions,Computed GO Components
CNAG_04891,1,Cryptococcus neoformans var. grubii H99,"CP003829.1:98,020..99,863(+)",hypothetical protein,protein coding gene,CNAG_04891,IPR000772;IPR035992,"Ricin B, lectin domain;Ricin B-like lectins",204,615,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_05075,2,Cryptococcus neoformans var. grubii H99,"CP003823.1:369,260..371,679(-)",solute carrier family 20 (sodium-dependent phosphate transporter),protein coding gene,CNAG_05075,IPR001204,Phosphate transporter,591,1776,solute carrier family 20 (sodium-dependent phosphate transporter),response to zinc ion,N/A,N/A,phosphate ion transport,inorganic phosphate transmembrane transporter activity;symporter activity,integral component of membrane;membrane
CNAG_02734,3,Cryptococcus neoformans var. grubii H99,"CP003822.1:879,406..880,170(-)",hypothetical protein,protein coding gene,CNAG_02734,IPR036291,NAD(P)-binding domain superfamily,105,318,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02526,4,Cryptococcus neoformans var. grubii H99,"CP003825.1:84,920..86,031(-)",hypothetical protein,protein coding gene,CNAG_02526,N/A,N/A,214,645,hypothetical protein,cellular response to heat;cellular response to salt stress,N/A,N/A,N/A,N/A,N/A
CNAG_01272,5,Cryptococcus neoformans var. grubii H99,"CP003824.1:734,653..736,479(+)",hypothetical protein,protein coding gene,CNAG_01272,N/A,N/A,239,720,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_01960,6,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,369,778..1,372,206(-)",efflux protein EncT,protein coding gene,CNAG_01960,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,561,1686,efflux protein EncT,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane
CNAG_05662,7,Cryptococcus neoformans var. grubii H99,"CP003833.2:908,237..910,767(+)",Polyol transporter protein 1,protein coding gene,CNAG_05662,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",631,1896,Polyol transporter protein 1,N/A,N/A,N/A,carbohydrate transport;transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane
CNAG_01121,8,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,149,719..1,150,942(-)",hypothetical protein,protein coding gene,CNAG_01121,N/A,N/A,147,444,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A
CNAG_01954,9,Cryptococcus neoformans var. grubii H99,"CP003830.1:1,356,922..1,358,417(-)",aldo-keto reductase,protein coding gene,CNAG_01954,IPR023210;IPR036812,NADP-dependent oxidoreductase domain;NADP-dependent oxidoreductase domain superfamily,329,990,aldo-keto reductase,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_02217,10,Cryptococcus neoformans var. grubii H99,"CP003825.1:887,744..892,888(-)",Chitin synthase,protein coding gene,CNAG_02217,IPR004834;IPR004835;IPR013616;IPR029044,Fungal chitin synthase;Chitin synthase;Chitin synthase N-terminal;Nucleotide-diphospho-sugar transferases,931,2796,Chitin synthase,cellular response to heat,N/A,N/A,cell wall organization;chitin biosynthetic process,chitin synthase activity;hexosyltransferase activity,integral component of membrane;plasma membrane
CNAG_02934,11,Cryptococcus neoformans var. grubii H99,"CP003822.1:410,064..413,275(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_02934,N/A,N/A,675,2028,"hypothetical protein, variant",N/A,N/A,N/A,N/A,N/A,integral component of membrane
CNAG_00588,12,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,511,795..1,513,507(-)",hypothetical protein,protein coding gene,CNAG_00588,IPR000772;IPR035992,"Ricin B, lectin domain;Ricin B-like lectins",171,516,hypothetical protein,cellular response to heat;cellular response to salt stress,N/A,N/A,N/A,N/A,N/A
CNAG_01052,13,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,335,183..1,337,422(-)",hypothetical protein,protein coding gene,CNAG_01052,N/A,N/A,366,1101,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01560,14,Cryptococcus neoformans var. grubii H99,"CP003830.1:279,256..281,612(-)",hypothetical protein,protein coding gene,CNAG_01560,N/A,N/A,470,1413,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03224,15,Cryptococcus neoformans var. grubii H99,"CP003827.1:385,970..386,833(-)",hypothetical protein,protein coding gene,CNAG_03224,N/A,N/A,211,636,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04735,16,Cryptococcus neoformans var. grubii H99,"CP003829.1:544,142..547,379(+)",extracellular elastinolytic metalloproteinase,protein coding gene,CNAG_04735,IPR001842;IPR011096,"Peptidase M36, fungalysin;FTP domain",831,2496,extracellular elastinolytic metalloproteinase,N/A,N/A,extracellular region,N/A,metalloendopeptidase activity;zinc ion binding,extracellular space
