Gene ID,Input Order,Organism,Genomic Location (Gene),Product Description,Gene Type,Input ID,Interpro ID,Interpro Description,Protein Length,CDS Length,Transcript Product Description,Curated GO Processes,Curated GO Functions,Curated GO Components,Computed GO Processes,Computed GO Functions,Computed GO Components,PFam Description,PFam ID
CNAG_01653,1,Cryptococcus neoformans var. grubii H99,"CP003830.1:527,816..529,526(-)",cytokine inducing-glycoprotein,protein coding gene,CNAG_01653,N/A,N/A,281,846,cytokine inducing-glycoprotein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,N/A,N/A
CNAG_04877,2,Cryptococcus neoformans var. grubii H99,"CP003829.1:131,901..133,434(-)",hypothetical protein,protein coding gene,CNAG_04877,IPR022235,Protein of unknown function DUF3760,289,870,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,Protein of unknown function DUF3760,PF12586
CNAG_00091,3,Cryptococcus neoformans var. grubii H99,"CP003820.1:253,176..255,431(+)",hypothetical protein,protein coding gene,CNAG_00091,N/A,N/A,534,1605,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05278,4,Cryptococcus neoformans var. grubii H99,"CP003823.1:916,613..917,768(-)","hypothetical protein, variant, hypothetical protein",protein coding gene,CNAG_05278,N/A,N/A,150,453,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_05662,5,Cryptococcus neoformans var. grubii H99,"CP003833.2:908,237..910,767(+)",Polyol transporter protein 1,protein coding gene,CNAG_05662,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",631,1896,Polyol transporter protein 1,N/A,N/A,N/A,carbohydrate transport;transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_07912,6,Cryptococcus neoformans var. grubii H99,"CP003831.1:636,454..637,411(+)",hypothetical protein,protein coding gene,CNAG_07912,N/A,N/A,143,432,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_06109,7,Cryptococcus neoformans var. grubii H99,"CP003831.1:332,401..334,218(+)","hypothetical protein, hypothetical protein, variant",protein coding gene,CNAG_06109,N/A,N/A,453,1362,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00984,8,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,505,337..1,507,351(+)",glucose and ribitol dehydrogenase,protein coding gene,CNAG_00984,IPR020904;IPR036291,"Short-chain dehydrogenase/reductase, conserved site;NAD(P)-binding domain superfamily",305,918,glucose and ribitol dehydrogenase,N/A,N/A,N/A,N/A,oxidoreductase activity,N/A,N/A,PF13561
CNAG_05994,9,Cryptococcus neoformans var. grubii H99,"CP003831.1:31,240..34,315(+)",multidrug transporter,protein coding gene,CNAG_05994,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,561,1686,multidrug transporter,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_07784,10,Cryptococcus neoformans var. grubii H99,"CP003828.1:1,159,668..1,160,299(-)",hypothetical protein,protein coding gene,CNAG_07784,N/A,N/A,173,522,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_01102,11,Cryptococcus neoformans var. grubii H99,"CP003824.1:1,204,400..1,205,860(-)",oxidoreductase,protein coding gene,CNAG_01102,IPR002347;IPR020904;IPR036291,"Short-chain dehydrogenase/reductase SDR;Short-chain dehydrogenase/reductase, conserved site;NAD(P)-binding domain superfamily",342,1029,oxidoreductase,N/A,N/A,N/A,N/A,oxidoreductase activity,N/A,N/A,PF13561
CNAG_07874,12,Cryptococcus neoformans var. grubii H99,"CP003833.2:155,583..158,428(+)",Sugar transporter,protein coding gene,CNAG_07874,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",592,1779,Sugar transporter,N/A,N/A,N/A,carbohydrate transport;transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_04163,13,Cryptococcus neoformans var. grubii H99,"CP003828.1:170,981..174,659(+)",hypothetical protein,protein coding gene,CNAG_04163,N/A,N/A,1025,3078,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_07869,14,Cryptococcus neoformans var. grubii H99,"CP003833.2:46,202..48,515(+)",hypothetical protein,protein coding gene,CNAG_07869,IPR011701;IPR036259,Major facilitator superfamily;MFS transporter superfamily,537,1614,hypothetical protein,N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,Major facilitator superfamily,PF07690
CNAG_05683,15,Cryptococcus neoformans var. grubii H99,"CP003826.1:605,381..606,408(+)",hypothetical protein,protein coding gene,CNAG_05683,N/A,N/A,121,366,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_04704,16,Cryptococcus neoformans var. grubii H99,"CP003829.1:646,930..649,721(+)","MFS transporter, SHS family, lactate transporter",protein coding gene,CNAG_04704,IPR005828;IPR036259,"Major facilitator,  sugar transporter-like;MFS transporter superfamily",542,1629,"MFS transporter, SHS family, lactate transporter",N/A,N/A,N/A,transmembrane transport,transmembrane transporter activity,integral component of membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_03398,17,Cryptococcus neoformans var. grubii H99,"CP003827.1:848,209..850,086(+)","solute carrier family 39 (zinc transporter), member 1/2/3",protein coding gene,CNAG_03398,IPR003689,Zinc/iron permease,394,1185,"solute carrier family 39 (zinc transporter), member 1/2/3",N/A,N/A,N/A,metal ion transport;transmembrane transport,metal ion transmembrane transporter activity,integral component of membrane;membrane,Zinc/iron permease,PF02535
CNAG_03782,18,Cryptococcus neoformans var. grubii H99,"CP003821.1:802,946..804,419(-)",hypothetical protein,protein coding gene,CNAG_03782,N/A,N/A,191,576,hypothetical protein,cellular response to heat,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03408,19,Cryptococcus neoformans var. grubii H99,"CP003827.1:879,540..882,441(+)",hypothetical protein,protein coding gene,CNAG_03408,IPR021836,Protein of unknown function DUF3429,469,1410,hypothetical protein,N/A,N/A,N/A,N/A,N/A,integral component of membrane,Protein of unknown function DUF3429,PF11911
CNAG_04837,20,Cryptococcus neoformans var. grubii H99,"CP003829.1:272,013..274,860(-)",bHLH family transcription factor,protein coding gene,CNAG_04837,IPR011598;IPR036638,"Myc-type, basic helix-loop-helix (bHLH) domain;Helix-loop-helix DNA-binding domain superfamily",551,1656,bHLH family transcription factor,heat acclimation;melanin biosynthetic process;negative regulation of capsule organization;regulation of urease activity;response to diamide;response to tunicamycin,N/A,N/A,N/A,protein dimerization activity,N/A,"Myc-type, basic helix-loop-helix (bHLH) domain",PF00010
CNAG_04106,21,Cryptococcus neoformans var. grubii H99,"CP003828.1:19,875..21,823(-)",hypothetical protein,protein coding gene,CNAG_04106,N/A,N/A,353,1062,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_00848,22,Cryptococcus neoformans var. grubii H99,"CP003820.1:2,244,340..2,248,712(-)","hypothetical protein, hypothetical protein, variant 2, hypothetical protein, variant 1",protein coding gene,CNAG_00848,IPR022124,Protein of unknown function DUF3659,972,2919,"hypothetical protein, variant 1",N/A,N/A,N/A,N/A,N/A,N/A,Protein of unknown function DUF3659,PF12396
CNAG_00588,23,Cryptococcus neoformans var. grubii H99,"CP003820.1:1,511,795..1,513,507(-)",hypothetical protein,protein coding gene,CNAG_00588,IPR000772;IPR035992,"Ricin B, lectin domain;Ricin B-like lectins",171,516,hypothetical protein,cellular response to heat;cellular response to salt stress,N/A,N/A,N/A,N/A,N/A,"Ricin B, lectin domain",PF00652
CNAG_07765,24,Cryptococcus neoformans var. grubii H99,"CP003828.1:736,458..737,446(+)",hypothetical protein,protein coding gene,CNAG_07765,IPR038725,"General stress protein, FMN-binding split barrel domain",198,597,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,"General stress protein, FMN-binding split barrel domain",PF16242
CNAG_06493,25,Cryptococcus neoformans var. grubii H99,"CP003832.1:664,003..665,206(-)",hypothetical protein,protein coding gene,CNAG_06493,N/A,N/A,232,699,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CNAG_03772,26,Cryptococcus neoformans var. grubii H99,"CP003821.1:772,402..775,011(-)",high-affinity glucose transporter,protein coding gene,CNAG_03772,IPR003663;IPR005828;IPR005829;IPR036259,"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily",551,1656,high-affinity glucose transporter,N/A,N/A,N/A,carbohydrate transport;transmembrane transport,transmembrane transporter activity,integral component of membrane;membrane,"Major facilitator,  sugar transporter-like",PF00083
CNAG_05251,27,Cryptococcus neoformans var. grubii H99,"CP003823.1:846,739..848,523(-)",hypothetical protein,protein coding gene,CNAG_05251,N/A,N/A,198,597,hypothetical protein,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
