gene	geneName	log2FC_30	padj_30	log2FC_37	padj_37	log2FC_EGTA	padj_EGTA	total	Gene ID	Input Order	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	Interpro ID	Interpro Description	Protein Length	CDS Length	Transcript Product Description	Curated GO Processes	Curated GO Functions	Curated GO Components	Computed GO Processes	Computed GO Functions	Computed GO Components	PFam Description	PFam ID	Gene Name or Symbol
CNAG_04891	NA	-9.035	2.5719999999999987e-236	-8.727	3.051999999999999e-213	-8.628	1.2429999999999995e-194	-26.39	CNAG_04891	1	Cryptococcus neoformans var. grubii H99	"CP003829.1:98,020..99,863(+)"	hypothetical protein	protein coding gene	CNAG_04891	IPR000772;IPR035992	"Ricin B, lectin domain;Ricin B-like lectins"	204	615	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	N/A	"Ricin B, lectin domain"	PF00652	N/A
CNAG_02526	NA	-8.347	2.345e-40	-5.341	1.404e-30	-6.557	1.4669999999999999e-34	-20.245	CNAG_02526	2	Cryptococcus neoformans var. grubii H99	"CP003825.1:84,920..86,031(-)"	hypothetical protein	protein coding gene	CNAG_02526	N/A	N/A	214	645	hypothetical protein	cellular response to heat;cellular response to salt stress	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_01954	NA	-8.579	6.9299999999999985e-22	-4.657	2.62e-35	-4.627	7.459999999999999e-48	-17.863	CNAG_01954	3	Cryptococcus neoformans var. grubii H99	"CP003830.1:1,356,922..1,358,417(-)"	aldo-keto reductase	protein coding gene	CNAG_01954	IPR023210;IPR036812	NADP-dependent oxidoreductase domain;NADP-dependent oxidoreductase domain superfamily	329	990	aldo-keto reductase	N/A	N/A	N/A	N/A	N/A	N/A	NADP-dependent oxidoreductase domain	PF00248	N/A
CNAG_00588	NA	-6.06	6.5029999999999975e-105	-4.372	7.869999999999997e-74	-6.779	9.531999999999996e-208	-17.211	CNAG_00588	4	Cryptococcus neoformans var. grubii H99	"CP003820.1:1,511,795..1,513,507(-)"	hypothetical protein	protein coding gene	CNAG_00588	IPR000772;IPR035992	"Ricin B, lectin domain;Ricin B-like lectins"	171	516	hypothetical protein	cellular response to heat;cellular response to salt stress	N/A	N/A	N/A	N/A	N/A	"Ricin B, lectin domain"	PF00652	N/A
CNAG_05662	PTP1	-5.6	4.194e-46	-4.806	1.0569999999999998e-31	-6.032	5.236999999999999e-160	-16.438	CNAG_05662	5	Cryptococcus neoformans var. grubii H99	"CP003833.2:908,237..910,767(+)"	Polyol transporter protein 1	protein coding gene	CNAG_05662	IPR003663;IPR005828;IPR005829;IPR036259	"Sugar/inositol transporter;Major facilitator,  sugar transporter-like;Sugar transporter, conserved site;MFS transporter superfamily"	631	1896	Polyol transporter protein 1	N/A	N/A	N/A	carbohydrate transport;transmembrane transport	transmembrane transporter activity	integral component of membrane;membrane	"Major facilitator,  sugar transporter-like"	PF00083	PTP1
CNAG_00269	NA	-5.984	2.866999999999999e-85	-3.712	5.488e-6	-5.742	1.085e-21	-15.438	CNAG_00269	6	Cryptococcus neoformans var. grubii H99	"CP003820.1:701,715..703,882(+)"	Sorbitol dehydrogenase	protein coding gene	CNAG_00269	IPR002328;IPR011032;IPR013149;IPR013154;IPR036291	"Alcohol dehydrogenase, zinc-type, conserved site;GroES-like superfamily;Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal;NAD(P)-binding domain superfamily"	416	1251	Sorbitol dehydrogenase	N/A	N/A	N/A	obsolete oxidation-reduction process	oxidoreductase activity;zinc ion binding	N/A	"Alcohol dehydrogenase, C-terminal;Alcohol dehydrogenase, N-terminal"	PF00107;PF08240	N/A
CNAG_05075	NA	-5.875	1.4599999999999995e-23	-5.91	4.553e-20	-3.39	1.76e-20	-15.175	CNAG_05075	7	Cryptococcus neoformans var. grubii H99	"CP003823.1:369,260..371,679(-)"	solute carrier family 20 (sodium-dependent phosphate transporter)	protein coding gene	CNAG_05075	IPR001204	Phosphate transporter	591	1776	solute carrier family 20 (sodium-dependent phosphate transporter)	response to zinc ion	N/A	N/A	phosphate ion transport	inorganic phosphate transmembrane transporter activity;symporter activity	integral component of membrane;membrane	Phosphate transporter	PF01384	N/A
CNAG_04142	NA	-6.627	3.684999999999998e-86	-4.046	4.157999999999999e-111	-3.867	7.912999999999996e-131	-14.54	CNAG_04142	8	Cryptococcus neoformans var. grubii H99	"CP003828.1:114,834..117,004(-)"	tartrate transporter	protein coding gene	CNAG_04142	IPR011701;IPR036259	Major facilitator superfamily;MFS transporter superfamily	530	1593	tartrate transporter	N/A	N/A	N/A	transmembrane transport	transmembrane transporter activity	integral component of membrane	Major facilitator superfamily	PF07690	N/A
CNAG_01121	NA	-4.94	8.879999999999998e-185	-4.697	0	-4.859	1.0929999999999992e-291	-14.496	CNAG_01121	9	Cryptococcus neoformans var. grubii H99	"CP003824.1:1,149,719..1,150,942(-)"	hypothetical protein	protein coding gene	CNAG_01121	N/A	N/A	147	444	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_01272	NA	-5.673	4.4239999999999973e-274	-5.082	0	-3.514	4.6399999999999987e-85	-14.269	CNAG_01272	10	Cryptococcus neoformans var. grubii H99	"CP003824.1:734,653..736,479(+)"	hypothetical protein	protein coding gene	CNAG_01272	N/A	N/A	239	720	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_03782	NA	-3.478	0.00479	-4.041	0.001805	-6.574	4.792e-13	-14.093	CNAG_03782	11	Cryptococcus neoformans var. grubii H99	"CP003821.1:802,946..804,419(-)"	hypothetical protein	protein coding gene	CNAG_03782	N/A	N/A	191	576	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_00827	NA	-5.258	5.674e-5	-3.914	3.716e-10	-4.552	1.815e-23	-13.724	CNAG_00827	12	Cryptococcus neoformans var. grubii H99	"CP003820.1:2,194,712..2,196,000(+)"	ribose 5-phosphate isomerase	protein coding gene	CNAG_00827	IPR003500;IPR011860;IPR036569	"Sugar-phosphate isomerase, RpiB/LacA/LacB family;Ribose 5-phosphate isomerase B, Actinobacteria-type;Sugar-phosphate isomerase, RpiB/LacA/LacB superfamily"	169	510	ribose 5-phosphate isomerase	N/A	N/A	N/A	carbohydrate metabolic process	isomerase activity	N/A	"Sugar-phosphate isomerase, RpiB/LacA/LacB family"	PF02502	N/A
CNAG_01052	NA	-5.794	7.079999999999997e-82	-4.203	2.798999999999999e-92	-3.72	1.1679999999999993e-130	-13.717	CNAG_01052	13	Cryptococcus neoformans var. grubii H99	"CP003824.1:1,335,183..1,337,422(-)"	hypothetical protein	protein coding gene	CNAG_01052	N/A	N/A	366	1101	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_00485	NA	-5.041	1.698e-40	-3.974	1.324e-70	-4.454	2.4809999999999996e-101	-13.469	CNAG_00485	14	Cryptococcus neoformans var. grubii H99	"CP003820.1:1,247,319..1,248,954(-)"	hypothetical protein	protein coding gene	CNAG_00485	N/A	N/A	349	1050	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	integral component of membrane	N/A	N/A	N/A
CNAG_03650	NA	-5.343	1.423e-25	-3.932	2.4000000000000002e-30	-3.471	8.876e-21	-12.746	CNAG_03650	15	Cryptococcus neoformans var. grubii H99	"CP003821.1:440,702..441,898(+)"	hypothetical protein	protein coding gene	CNAG_03650	N/A	N/A	67	204	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_03058	NA	-4.504	2.3399999999999995e-127	-3.336	1.5509999999999995e-136	-4.73	0	-12.57	CNAG_03058	16	Cryptococcus neoformans var. grubii H99	"CP003822.1:98,697..99,469(+)"	hypothetical protein	protein coding gene	CNAG_03058	N/A	N/A	114	345	hypothetical protein	N/A	N/A	extracellular vesicle	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_02217	CHS7	-5.514	1.9679999999999996e-127	-4.523	1.1789999999999993e-182	-2.511	6.913999999999999e-65	-12.548	CNAG_02217	17	Cryptococcus neoformans var. grubii H99	"CP003825.1:887,744..892,888(-)"	Chitin synthase	protein coding gene	CNAG_02217	IPR004834;IPR004835;IPR013616;IPR029044	Fungal chitin synthase;Chitin synthase;Chitin synthase N-terminal;Nucleotide-diphospho-sugar transferases	931	2796	Chitin synthase	cellular response to heat	N/A	N/A	cell wall organization;chitin biosynthetic process	chitin synthase activity;hexosyltransferase activity	integral component of membrane;plasma membrane	Fungal chitin synthase;Chitin synthase N-terminal	PF01644;PF08407	CHS7
CNAG_05916	NA	-4.006	3.528e-11	-4.049	3.171e-18	-4.464	1.861e-47	-12.519	CNAG_05916	18	Cryptococcus neoformans var. grubii H99	"CP003826.1:1,209,102..1,210,628(+)"	hypothetical protein	protein coding gene	CNAG_05916	N/A	N/A	331	996	hypothetical protein	cellular response to heat	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_03867	NA	-6.062	5.55e-17	-3.837	1.045e-21	-2.591	1.317e-8	-12.49	CNAG_03867	19	Cryptococcus neoformans var. grubii H99	"CP003821.1:1,045,147..1,046,231(+)"	hypothetical protein	protein coding gene	CNAG_03867	N/A	N/A	204	615	hypothetical protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
CNAG_01960	NA	-3.821	8.521999999999999e-77	-4.997	9.443999999999992e-286	-3.657	4.0089999999999983e-116	-12.475	CNAG_01960	20	Cryptococcus neoformans var. grubii H99	"CP003830.1:1,369,778..1,372,206(-)"	efflux protein EncT	protein coding gene	CNAG_01960	IPR011701;IPR036259	Major facilitator superfamily;MFS transporter superfamily	561	1686	efflux protein EncT	N/A	N/A	N/A	transmembrane transport	transmembrane transporter activity	integral component of membrane	Major facilitator superfamily	PF07690	N/A
CNAG_06347	BLP2	-5.246	3.462999999999999e-148	-3.672	1.410999999999999e-204	-3.534	2.294999999999999e-89	-12.452	CNAG_06347	21	Cryptococcus neoformans var. grubii H99	"CP003832.1:258,556..260,437(-)"	pr4/barwin domain protein	protein coding gene	CNAG_06347	IPR036908	RlpA-like domain superfamily	124	375	pr4/barwin domain protein	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	BLP2
CNAG_02934	NA	-4.679	7.596e-42	-4.473	8.744999999999998e-89	-3.188	1.3639999999999996e-62	-12.34	CNAG_02934	22	Cryptococcus neoformans var. grubii H99	"CP003822.1:410,064..413,275(-)"	"hypothetical protein, variant, hypothetical protein"	protein coding gene	CNAG_02934	N/A	N/A	675	2028	"hypothetical protein, variant"	N/A	N/A	N/A	N/A	N/A	integral component of membrane	N/A	N/A	N/A
